match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,214,4,17
2,LookAhead_h2,139,3,18
3,LookAhead_h2,261,2,16
4,-,~,-
5,LookAhead_h2,279,5,25
6,-,~,-
7,LookAhead_h2,125,4,27
8,LookAhead_h2,251,3,21
9,LookAhead_h2,115,5,19
10,-,~,-
11,LookAhead_h2,157,4,23
12,LookAhead_h2,217,6,19
13,LookAhead_h2,261,4,14
14,LookAhead_h2,137,6,25
15,-,~,-
16,-,~,-
17,LookAhead_h2,147,4,18
18,LookAhead_h2,111,3,15
19,LookAhead_h2,143,6,32
20,-,~,-
21,LookAhead_h2,331,4,15
22,-,~,-
23,-,~,-
24,-,~,-
25,LookAhead_h2,129,6,26
26,LookAhead_h2,227,4,18
27,LookAhead_h2,151,5,28
28,LookAhead_h2,111,5,33
29,-,~,-
30,-,~,-
31,-,~,-
32,LookAhead_h2,137,4,23
33,-,~,-
34,LookAhead_h2,261,4,19
35,-,~,-
36,LookAhead_h2,255,3,11
37,-,~,-
38,LookAhead_h2,331,5,19
39,-,~,-
40,-,~,-
41,LookAhead_h2,253,5,21
42,LookAhead_h2,181,6,31
43,LookAhead_h2,227,3,20
44,-,~,-
45,LookAhead_h2,427,4,25
46,LookAhead_h2,89,3,19
47,LookAhead_h2,95,6,25
48,-,~,-
49,LookAhead_h2,261,4,15
50,LookAhead_h2,165,4,20
51,-,~,-
52,-,~,-
53,-,~,-
54,LookAhead_h2,245,4,16
55,-,~,-
56,LookAhead_h2,187,2,16
57,LookAhead_h2,169,5,23
58,LookAhead_h2,229,5,22
59,-,~,-
60,-,~,-
61,LookAhead_h2,99,5,20
62,LookAhead_h2,163,5,28
63,-,~,-
64,LookAhead_h2,95,5,12
65,LookAhead_h2,275,5,22
66,-,~,-
67,-,~,-
68,-,~,-
69,LookAhead_h2,185,4,15
70,-,~,-
71,LookAhead_h2,111,4,22
72,-,~,-
73,LookAhead_h2,187,5,15
74,LookAhead_h2,147,5,23
75,LookAhead_h2,177,4,26
76,-,~,-
77,LookAhead_h2,171,4,19
78,LookAhead_h2,137,5,30
79,LookAhead_h2,149,6,28
80,LookAhead_h2,111,6,26
81,LookAhead_h2,119,6,28
82,LookAhead_h2,161,3,25
83,LookAhead_h2,245,4,20
84,LookAhead_h2,215,4,24
85,-,~,-
86,-,~,-
87,-,~,-
88,LookAhead_h2,93,6,32
89,-,~,-
90,LookAhead_h2,183,5,18
91,LookAhead_h2,281,4,17
92,LookAhead_h2,287,4,18
93,LookAhead_h2,129,5,17
94,LookAhead_h2,155,6,33
95,-,~,-
96,LookAhead_h2,177,4,18
97,LookAhead_h2,201,2,12
98,LookAhead_h2,203,5,27
99,LookAhead_h2,127,5,28
100,LookAhead_h2,261,4,20
