match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,ChooseGreedyNodeAI_h2,206,2,5
2,ChooseGreedyNodeAI_h2,195,2,3
3,ChooseGreedyNodeAI_h1,178,1,3
4,ChooseGreedyNodeAI_h2,183,1,3
5,ChooseGreedyNodeAI_h2,197,2,2
6,ChooseGreedyNodeAI_h1,178,3,9
7,ChooseGreedyNodeAI_h2,185,1,2
8,ChooseGreedyNodeAI_h1,334,1,5
9,ChooseGreedyNodeAI_h2,173,1,1
10,ChooseGreedyNodeAI_h2,183,1,3
11,ChooseGreedyNodeAI_h2,129,5,24
12,ChooseGreedyNodeAI_h2,159,2,4
13,ChooseGreedyNodeAI_h1,194,1,3
14,ChooseGreedyNodeAI_h1,190,1,3
15,ChooseGreedyNodeAI_h2,165,2,6
16,ChooseGreedyNodeAI_h2,183,1,3
17,ChooseGreedyNodeAI_h2,199,1,1
18,ChooseGreedyNodeAI_h2,155,1,1
19,ChooseGreedyNodeAI_h2,189,1,1
20,ChooseGreedyNodeAI_h1,178,2,7
21,ChooseGreedyNodeAI_h1,186,1,1
22,ChooseGreedyNodeAI_h2,191,2,3
23,ChooseGreedyNodeAI_h2,183,3,6
24,ChooseGreedyNodeAI_h1,124,3,17
25,ChooseGreedyNodeAI_h2,219,1,1
26,ChooseGreedyNodeAI_h1,180,1,5
27,ChooseGreedyNodeAI_h1,174,2,7
28,ChooseGreedyNodeAI_h2,191,1,3
29,ChooseGreedyNodeAI_h2,195,2,2
30,ChooseGreedyNodeAI_h2,165,2,2
31,ChooseGreedyNodeAI_h2,171,2,3
32,ChooseGreedyNodeAI_h2,193,1,1
33,ChooseGreedyNodeAI_h2,179,1,1
34,ChooseGreedyNodeAI_h1,172,1,1
35,ChooseGreedyNodeAI_h2,173,2,5
36,ChooseGreedyNodeAI_h1,156,3,17
37,ChooseGreedyNodeAI_h1,184,1,3
38,ChooseGreedyNodeAI_h1,234,1,5
39,ChooseGreedyNodeAI_h2,179,1,5
40,ChooseGreedyNodeAI_h2,177,2,8
41,ChooseGreedyNodeAI_h2,199,1,1
42,ChooseGreedyNodeAI_h1,270,1,5
43,ChooseGreedyNodeAI_h2,171,1,1
44,ChooseGreedyNodeAI_h1,180,1,1
45,ChooseGreedyNodeAI_h1,152,2,7
46,ChooseGreedyNodeAI_h2,213,2,3
47,ChooseGreedyNodeAI_h2,177,3,4
48,ChooseGreedyNodeAI_h1,170,2,3
49,ChooseGreedyNodeAI_h1,242,1,3
50,ChooseGreedyNodeAI_h2,209,2,3
51,ChooseGreedyNodeAI_h2,225,2,5
52,ChooseGreedyNodeAI_h2,159,2,5
53,ChooseGreedyNodeAI_h2,165,2,3
54,ChooseGreedyNodeAI_h2,171,2,3
55,ChooseGreedyNodeAI_h1,190,1,1
56,ChooseGreedyNodeAI_h2,169,2,4
57,ChooseGreedyNodeAI_h2,149,1,3
58,ChooseGreedyNodeAI_h2,191,2,5
59,ChooseGreedyNodeAI_h2,195,1,2
60,ChooseGreedyNodeAI_h1,226,1,5
61,ChooseGreedyNodeAI_h2,119,5,21
62,ChooseGreedyNodeAI_h2,163,2,4
63,ChooseGreedyNodeAI_h1,134,5,28
64,ChooseGreedyNodeAI_h2,229,2,4
65,ChooseGreedyNodeAI_h2,195,1,1
66,ChooseGreedyNodeAI_h2,209,2,3
67,ChooseGreedyNodeAI_h2,189,1,1
68,ChooseGreedyNodeAI_h2,163,1,3
69,ChooseGreedyNodeAI_h2,195,1,1
70,ChooseGreedyNodeAI_h2,197,2,5
71,ChooseGreedyNodeAI_h2,171,2,5
72,ChooseGreedyNodeAI_h2,199,1,3
73,ChooseGreedyNodeAI_h1,182,3,13
74,ChooseGreedyNodeAI_h2,219,2,5
75,ChooseGreedyNodeAI_h1,148,2,9
76,ChooseGreedyNodeAI_h2,215,3,6
77,ChooseGreedyNodeAI_h2,195,2,5
78,ChooseGreedyNodeAI_h2,171,2,2
79,ChooseGreedyNodeAI_h2,189,2,5
80,ChooseGreedyNodeAI_h2,183,1,4
81,ChooseGreedyNodeAI_h1,186,3,15
82,ChooseGreedyNodeAI_h2,151,2,9
83,ChooseGreedyNodeAI_h2,171,1,3
84,ChooseGreedyNodeAI_h2,191,2,5
85,ChooseGreedyNodeAI_h2,213,2,6
86,ChooseGreedyNodeAI_h2,237,2,6
87,ChooseGreedyNodeAI_h2,193,1,3
88,ChooseGreedyNodeAI_h2,231,2,4
89,ChooseGreedyNodeAI_h1,146,2,15
90,ChooseGreedyNodeAI_h2,181,1,3
91,ChooseGreedyNodeAI_h2,169,2,5
92,ChooseGreedyNodeAI_h2,199,2,4
93,ChooseGreedyNodeAI_h1,162,6,26
94,ChooseGreedyNodeAI_h1,160,2,6
95,ChooseGreedyNodeAI_h2,293,1,5
96,ChooseGreedyNodeAI_h2,175,2,4
97,ChooseGreedyNodeAI_h1,162,1,6
98,ChooseGreedyNodeAI_h2,197,2,3
99,ChooseGreedyNodeAI_h2,191,1,8
100,ChooseGreedyNodeAI_h1,312,1,6
