match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,88,8,32
2,LookAhead_h2,73,8,45
3,LookAhead_h2,95,6,27
4,LookAhead_h2,87,5,21
5,LookAhead_h2,97,6,24
6,LookAhead_h2,87,5,26
7,LookAhead_h2,85,6,28
8,LookAhead_h2,103,7,32
9,LookAhead_h2,79,6,35
10,LookAhead_h2,103,5,26
11,LookAhead_h2,75,7,36
12,LookAhead_h2,85,8,49
13,LookAhead_h2,87,8,37
14,LookAhead_h2,99,3,19
15,-,~,-
16,LookAhead_h2,89,8,35
17,LookAhead_h2,97,4,19
18,-,~,-
19,LookAhead_h2,99,5,21
20,LookAhead_h2,89,5,30
21,LookAhead_h2,99,6,28
22,LookAhead_h2,89,5,25
23,LookAhead_h2,97,4,23
24,LookAhead_h2,113,5,22
25,LookAhead_h2,97,5,24
26,LookAhead_h2,111,3,10
27,LookAhead_h2,95,5,25
28,-,~,-
29,LookAhead_h2,83,4,22
30,LookAhead_h2,95,4,21
31,LookAhead_h2,79,6,39
32,LookAhead_h2,105,4,22
33,LookAhead_h2,91,6,40
34,LookAhead_h2,71,5,25
35,LookAhead_h2,97,5,22
36,LookAhead_h2,101,5,27
37,LookAhead_h2,97,5,26
38,LookAhead_h2,97,7,34
39,LookAhead_h2,87,4,25
40,LookAhead_h2,91,6,33
41,LookAhead_h2,95,6,35
42,LookAhead_h2,91,7,44
43,LookAhead_h2,95,7,35
44,LookAhead_h2,85,8,40
45,LookAhead_h2,73,8,48
46,LookAhead_h2,91,4,22
47,LookAhead_h2,93,5,22
48,LookAhead_h2,101,4,26
49,LookAhead_h2,97,6,21
50,LookAhead_h2,115,3,13
51,LookAhead_h2,75,6,36
52,LookAhead_h2,93,5,34
53,LookAhead_h2,99,6,20
54,LookAhead_h2,85,6,34
55,LookAhead_h2,97,4,14
56,LookAhead_h2,113,5,20
57,LookAhead_h2,89,6,28
58,LookAhead_h2,81,6,39
59,LookAhead_h2,77,7,40
60,LookAhead_h2,93,6,25
61,LookAhead_h2,77,6,43
62,LookAhead_h2,93,5,16
63,LookAhead_h2,95,5,22
64,LookAhead_h2,115,4,26
65,LookAhead_h2,89,8,40
66,LookAhead_h2,87,6,28
67,LookAhead_h2,87,5,24
68,LookAhead_h2,85,7,37
69,LookAhead_h2,95,4,16
70,LookAhead_h2,91,7,36
71,LookAhead_h2,105,5,28
72,LookAhead_h2,101,7,39
73,LookAhead_h2,77,5,26
74,LookAhead_h2,83,6,28
75,LookAhead_h2,79,5,24
76,LookAhead_h2,97,4,17
77,LookAhead_h2,95,6,21
78,LookAhead_h2,85,6,29
79,LookAhead_h2,93,4,12
80,LookAhead_h2,87,6,25
81,LookAhead_h2,97,7,42
82,LookAhead_h2,87,3,12
83,LookAhead_h2,107,5,16
84,LookAhead_h2,89,4,18
85,LookAhead_h2,85,5,27
86,LookAhead_h2,79,8,48
87,LookAhead_h2,73,6,32
88,LookAhead_h2,91,6,34
89,LookAhead_h2,87,6,41
90,LookAhead_h2,89,6,43
91,LookAhead_h2,107,6,32
92,LookAhead_h2,73,6,36
93,LookAhead_h2,109,5,23
94,LookAhead_h2,83,6,37
95,LookAhead_h2,93,3,19
96,LookAhead_h2,95,6,30
97,LookAhead_h2,87,5,31
98,LookAhead_h2,85,5,21
99,LookAhead_h2,99,4,24
100,LookAhead_h2,79,6,26
