match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,AStarAI_h2,144,3,8
2,AStarAI_h2,115,5,19
3,AStarAI_h2,131,2,10
4,AStarAI_h2,139,2,8
5,AStarAI_h2,125,5,23
6,AStarAI_h2,155,2,8
7,AStarAI_h2,141,2,7
8,-,~,-
9,AStarAI_h2,139,3,7
10,AStarAI_h2,137,6,24
11,AStarAI_h2,131,4,22
12,AStarAI_h2,97,6,33
13,AStarAI_h2,121,7,30
14,AStarAI_h2,137,4,16
15,AStarAI_h2,135,3,14
16,AStarAI_h2,123,3,8
17,AStarAI_h2,113,6,30
18,AStarAI_h2,129,5,22
19,AStarAI_h2,117,4,15
20,AStarAI_h2,121,5,21
21,AStarAI_h2,103,6,24
22,AStarAI_h2,135,5,24
23,AStarAI_h2,91,5,22
24,AStarAI_h2,113,5,15
25,AStarAI_h2,119,3,17
26,AStarAI_h2,123,3,13
27,AStarAI_h2,117,6,37
28,AStarAI_h2,121,6,25
29,AStarAI_h2,113,1,7
30,AStarAI_h2,121,4,21
31,AStarAI_h2,149,2,5
32,AStarAI_h2,127,3,16
33,AStarAI_h2,113,6,28
34,AStarAI_h2,115,3,13
35,AStarAI_h2,111,4,13
36,AStarAI_h2,137,4,17
37,AStarAI_h2,113,6,20
38,AStarAI_h2,117,4,18
39,AStarAI_h2,155,2,7
40,AStarAI_h2,113,5,32
41,AStarAI_h2,113,4,17
42,AStarAI_h2,99,9,47
43,AStarAI_h2,115,4,25
44,AStarAI_h2,119,3,14
45,AStarAI_h2,123,6,30
46,AStarAI_h2,117,4,20
47,AStarAI_h2,131,3,11
48,AStarAI_h2,137,2,8
49,AStarAI_h2,145,2,2
50,AStarAI_h2,125,3,8
51,AStarAI_h2,123,7,31
52,AStarAI_h2,119,6,28
53,AStarAI_h2,135,3,15
54,AStarAI_h2,95,5,22
55,AStarAI_h2,117,5,20
56,AStarAI_h2,137,3,14
57,AStarAI_h2,133,6,27
58,AStarAI_h2,115,4,22
59,AStarAI_h2,137,4,17
60,AStarAI_h2,107,6,31
61,AStarAI_h2,145,4,17
62,AStarAI_h2,123,4,24
63,AStarAI_h2,123,5,30
64,AStarAI_h2,129,7,31
65,AStarAI_h2,113,5,27
66,AStarAI_h2,129,3,12
67,AStarAI_h2,119,5,20
68,-,~,-
69,AStarAI_h2,139,1,4
70,AStarAI_h2,129,4,16
71,AStarAI_h2,109,6,27
72,AStarAI_h2,113,6,27
73,AStarAI_h2,123,6,22
74,AStarAI_h2,123,6,23
75,AStarAI_h2,149,3,8
76,AStarAI_h2,125,5,21
77,AStarAI_h2,133,3,9
78,AStarAI_h2,127,1,8
79,AStarAI_h2,125,4,18
80,AStarAI_h2,131,4,14
81,AStarAI_h2,137,5,21
82,AStarAI_h2,143,3,15
83,AStarAI_h2,133,4,17
84,AStarAI_h2,121,6,38
85,AStarAI_h2,143,5,20
86,AStarAI_h2,133,3,18
87,AStarAI_h2,109,5,27
88,AStarAI_h2,111,3,14
89,AStarAI_h2,125,5,23
90,AStarAI_h2,151,2,2
91,AStarAI_h2,121,3,9
92,AStarAI_h2,121,4,13
93,AStarAI_h2,127,5,20
94,AStarAI_h2,125,6,22
95,AStarAI_h2,119,4,16
96,AStarAI_h2,135,4,10
97,AStarAI_h2,123,4,14
98,AStarAI_h2,135,4,16
99,AStarAI_h2,101,7,35
100,AStarAI_h2,115,4,25
