match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,78,2,4
2,LookAhead_h2,81,3,3
3,LookAhead_h1,84,2,9
4,LookAhead_h1,78,3,11
5,LookAhead_h1,76,1,1
6,LookAhead_h2,75,2,16
7,LookAhead_h2,65,3,20
8,LookAhead_h2,99,1,3
9,LookAhead_h2,87,2,5
10,LookAhead_h2,91,2,4
11,LookAhead_h2,83,2,4
12,LookAhead_h1,76,1,1
13,LookAhead_h2,87,2,4
14,LookAhead_h1,84,2,5
15,LookAhead_h2,89,1,3
16,LookAhead_h2,91,1,3
17,LookAhead_h2,85,2,4
18,LookAhead_h1,90,1,7
19,LookAhead_h2,77,2,11
20,LookAhead_h2,75,1,3
21,LookAhead_h1,80,2,9
22,LookAhead_h2,77,3,12
23,LookAhead_h2,89,3,6
24,LookAhead_h2,83,2,10
25,LookAhead_h2,85,2,3
26,LookAhead_h2,77,2,4
27,LookAhead_h2,75,2,3
28,LookAhead_h2,71,2,4
29,LookAhead_h2,77,2,4
30,LookAhead_h2,97,2,4
31,LookAhead_h2,68,4,18
32,LookAhead_h2,75,1,3
33,LookAhead_h2,71,2,5
34,LookAhead_h2,87,2,4
35,LookAhead_h2,83,2,4
36,LookAhead_h1,98,1,1
37,LookAhead_h2,81,2,8
38,LookAhead_h2,89,1,1
39,LookAhead_h1,88,1,1
40,LookAhead_h2,71,2,4
41,LookAhead_h1,86,3,12
42,LookAhead_h1,84,2,6
43,LookAhead_h2,71,2,8
44,LookAhead_h1,76,2,9
45,LookAhead_h2,77,2,9
46,LookAhead_h2,81,2,4
47,LookAhead_h1,90,1,3
48,LookAhead_h2,79,2,7
49,LookAhead_h2,83,3,14
50,LookAhead_h2,87,2,7
51,LookAhead_h2,77,3,14
52,LookAhead_h1,83,2,11
53,LookAhead_h2,78,2,4
54,LookAhead_h1,81,3,9
55,LookAhead_h1,95,1,1
56,LookAhead_h1,99,2,8
57,LookAhead_h2,90,1,5
58,LookAhead_h2,76,2,4
59,LookAhead_h2,78,2,5
60,LookAhead_h2,88,2,4
61,LookAhead_h1,81,4,10
62,LookAhead_h2,86,1,1
63,LookAhead_h2,72,4,10
64,LookAhead_h2,76,2,17
65,LookAhead_h2,80,2,4
66,LookAhead_h1,69,5,16
67,LookAhead_h2,96,2,4
68,LookAhead_h1,87,1,6
69,LookAhead_h1,71,3,10
70,LookAhead_h1,83,1,5
71,LookAhead_h1,79,3,11
72,LookAhead_h1,91,2,8
73,LookAhead_h1,87,1,1
74,LookAhead_h1,77,3,10
75,LookAhead_h2,84,1,4
76,LookAhead_h2,84,2,4
77,LookAhead_h2,98,1,3
78,LookAhead_h2,74,2,13
79,LookAhead_h2,78,2,5
80,LookAhead_h1,81,2,9
81,LookAhead_h1,83,3,14
82,LookAhead_h2,86,1,1
83,LookAhead_h1,101,1,3
84,LookAhead_h1,87,3,12
85,LookAhead_h1,81,1,7
86,LookAhead_h1,85,2,2
87,LookAhead_h2,72,2,15
88,LookAhead_h1,89,2,6
89,LookAhead_h2,100,1,1
90,LookAhead_h2,76,1,1
91,LookAhead_h1,85,2,5
92,LookAhead_h2,88,2,4
93,LookAhead_h2,76,2,15
94,LookAhead_h2,104,1,3
95,LookAhead_h1,83,3,9
96,LookAhead_h1,89,2,6
97,LookAhead_h2,74,2,4
98,LookAhead_h1,83,2,7
99,LookAhead_h2,96,1,3
100,LookAhead_h1,91,2,4
101,LookAhead_h1,85,1,1
