match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h1,95,2,4
2,MiniMax_h1,95,1,3
3,LookAhead_h1,100,2,4
4,LookAhead_h1,84,2,5
5,LookAhead_h1,108,1,1
6,MiniMax_h1,89,2,4
7,MiniMax_h1,95,1,3
8,MiniMax_h1,71,1,5
9,LookAhead_h1,90,1,3
10,LookAhead_h1,80,2,14
11,LookAhead_h1,76,2,9
12,LookAhead_h1,92,2,4
13,LookAhead_h1,68,2,4
14,MiniMax_h1,84,2,13
15,LookAhead_h1,90,2,7
16,MiniMax_h1,91,1,3
17,MiniMax_h1,89,2,8
18,MiniMax_h1,99,1,1
19,MiniMax_h1,77,2,5
20,MiniMax_h1,83,2,5
21,LookAhead_h1,82,1,3
22,MiniMax_h1,101,1,3
23,MiniMax_h1,81,3,6
24,MiniMax_h1,77,2,4
25,LookAhead_h1,86,1,3
26,MiniMax_h1,77,1,1
27,LookAhead_h1,98,1,3
28,MiniMax_h1,89,1,3
29,LookAhead_h1,72,4,8
30,MiniMax_h1,87,1,1
31,MiniMax_h1,83,2,6
32,MiniMax_h1,69,3,10
33,LookAhead_h1,88,1,1
34,MiniMax_h1,89,1,1
35,MiniMax_h1,73,2,6
36,LookAhead_h1,82,2,6
37,LookAhead_h1,70,2,4
38,LookAhead_h1,82,2,4
39,MiniMax_h1,101,2,4
40,MiniMax_h1,97,2,4
41,LookAhead_h1,96,2,4
42,LookAhead_h1,86,1,3
43,MiniMax_h1,76,4,25
44,MiniMax_h1,73,2,7
45,MiniMax_h1,91,2,8
46,MiniMax_h1,85,1,3
47,MiniMax_h1,64,4,23
48,LookAhead_h1,80,2,4
49,MiniMax_h1,95,1,1
50,MiniMax_h1,79,2,4
51,MiniMax_h1,66,2,13
52,MiniMax_h1,82,2,4
53,LookAhead_h1,83,2,4
54,MiniMax_h1,86,2,4
55,LookAhead_h1,85,2,4
56,LookAhead_h1,89,1,3
57,LookAhead_h1,95,1,3
58,LookAhead_h1,97,2,4
59,MiniMax_h1,57,5,24
60,MiniMax_h1,80,2,4
61,MiniMax_h1,76,1,1
62,LookAhead_h1,65,2,5
63,LookAhead_h1,85,2,4
64,MiniMax_h1,90,1,5
65,LookAhead_h1,67,2,4
66,LookAhead_h1,79,1,3
67,MiniMax_h1,78,2,3
68,LookAhead_h1,87,1,1
69,MiniMax_h1,100,2,4
70,MiniMax_h1,82,2,6
71,MiniMax_h1,84,3,8
72,LookAhead_h1,53,4,22
73,MiniMax_h1,70,3,8
74,MiniMax_h1,82,1,3
75,MiniMax_h1,76,1,5
76,LookAhead_h1,69,1,1
77,LookAhead_h1,93,1,1
78,LookAhead_h1,91,1,3
79,LookAhead_h1,75,3,14
80,LookAhead_h1,93,2,4
81,LookAhead_h1,73,2,7
82,MiniMax_h1,72,2,6
83,LookAhead_h1,77,2,12
84,LookAhead_h1,85,1,1
85,LookAhead_h1,91,2,4
86,LookAhead_h1,89,1,3
87,LookAhead_h1,95,2,5
88,MiniMax_h1,82,1,3
89,MiniMax_h1,88,1,3
90,LookAhead_h1,81,1,5
91,MiniMax_h1,84,2,5
92,LookAhead_h1,69,2,8
93,MiniMax_h1,94,1,3
94,LookAhead_h1,69,2,15
95,MiniMax_h1,98,1,1
96,MiniMax_h1,74,2,4
97,MiniMax_h1,80,2,4
98,LookAhead_h1,87,2,4
99,MiniMax_h1,88,2,5
100,LookAhead_h1,87,2,4
101,LookAhead_h1,93,2,4
