match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1_h2,70,3,17
2,MiniMax_h1_h2,71,2,5
3,MiniMax_h1_h2,91,3,8
4,LookAhead_h1,96,2,4
5,MiniMax_h1_h2,99,1,3
6,MiniMax_h1_h2,56,5,30
7,MiniMax_h1_h2,77,4,19
8,LookAhead_h1,82,1,5
9,MiniMax_h1_h2,81,3,14
10,MiniMax_h1_h2,79,2,7
11,MiniMax_h1_h2,83,2,4
12,LookAhead_h1,68,1,5
13,LookAhead_h1,88,1,1
14,MiniMax_h1_h2,87,2,4
15,LookAhead_h1,72,3,15
16,LookAhead_h1,76,2,4
17,LookAhead_h1,82,1,4
18,LookAhead_h1,82,2,4
19,LookAhead_h1,80,3,9
20,MiniMax_h1_h2,85,1,3
21,MiniMax_h1_h2,93,2,6
22,MiniMax_h1_h2,91,1,1
23,LookAhead_h1,76,1,3
24,MiniMax_h1_h2,73,2,6
25,MiniMax_h1_h2,77,3,11
26,MiniMax_h1_h2,75,3,10
27,MiniMax_h1_h2,87,2,6
28,MiniMax_h1_h2,91,2,7
29,LookAhead_h1,94,2,8
30,MiniMax_h1_h2,79,2,4
31,MiniMax_h1_h2,62,5,33
32,MiniMax_h1_h2,65,3,10
33,MiniMax_h1_h2,71,3,5
34,MiniMax_h1_h2,101,2,4
35,MiniMax_h1_h2,79,2,4
36,MiniMax_h1_h2,77,3,11
37,MiniMax_h1_h2,87,2,6
38,LookAhead_h1,92,2,10
39,LookAhead_h1,92,1,1
40,MiniMax_h1_h2,93,1,3
41,LookAhead_h1,72,2,3
42,LookAhead_h1,88,1,5
43,LookAhead_h1,86,1,4
44,MiniMax_h1_h2,91,1,1
45,MiniMax_h1_h2,83,2,10
46,MiniMax_h1_h2,69,3,11
47,MiniMax_h1_h2,91,1,3
48,MiniMax_h1_h2,85,2,4
49,LookAhead_h1,68,4,17
50,MiniMax_h1_h2,95,1,3
51,MiniMax_h1_h2,83,3,12
52,MiniMax_h1_h2,80,2,4
53,MiniMax_h1_h2,62,3,22
54,MiniMax_h1_h2,74,1,3
55,LookAhead_h1,89,2,6
56,LookAhead_h1,83,1,1
57,MiniMax_h1_h2,100,2,6
58,LookAhead_h1,85,1,1
59,MiniMax_h1_h2,72,2,4
60,MiniMax_h1_h2,70,2,15
61,LookAhead_h1,89,1,8
62,MiniMax_h1_h2,78,2,4
63,LookAhead_h1,91,2,4
64,LookAhead_h1,97,1,7
65,LookAhead_h1,89,1,1
66,MiniMax_h1_h2,82,2,4
67,MiniMax_h1_h2,92,2,4
68,LookAhead_h1,77,1,4
69,MiniMax_h1_h2,88,2,7
70,MiniMax_h1_h2,92,2,4
71,MiniMax_h1_h2,72,3,10
72,MiniMax_h1_h2,68,2,4
73,MiniMax_h1_h2,90,2,4
74,LookAhead_h1,87,3,10
75,MiniMax_h1_h2,90,1,5
76,MiniMax_h1_h2,86,2,7
77,MiniMax_h1_h2,82,1,3
78,MiniMax_h1_h2,78,2,5
79,MiniMax_h1_h2,88,2,4
80,LookAhead_h1,87,2,9
81,MiniMax_h1_h2,86,1,3
82,MiniMax_h1_h2,82,2,10
83,LookAhead_h1,81,2,9
84,LookAhead_h1,63,1,4
85,MiniMax_h1_h2,92,1,3
86,LookAhead_h1,79,2,7
87,MiniMax_h1_h2,84,2,6
88,LookAhead_h1,91,1,5
89,MiniMax_h1_h2,68,3,10
90,MiniMax_h1_h2,82,2,4
91,LookAhead_h1,105,1,1
92,LookAhead_h1,81,1,5
93,LookAhead_h1,79,1,2
94,LookAhead_h1,89,1,7
95,MiniMax_h1_h2,76,2,9
96,MiniMax_h1_h2,86,1,1
97,MiniMax_h1_h2,82,1,3
98,MiniMax_h1_h2,70,3,12
99,MiniMax_h1_h2,70,3,12
100,MiniMax_h1_h2,76,1,3
101,MiniMax_h1_h2,86,1,3
