match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,100,1,3
2,LookAhead_h2,75,2,8
3,MCTSAI,88,1,1
4,LookAhead_h2,85,1,4
5,LookAhead_h2,103,2,7
6,LookAhead_h2,87,2,3
7,LookAhead_h2,75,5,21
8,LookAhead_h2,85,2,2
9,LookAhead_h2,75,4,12
10,LookAhead_h2,99,1,5
11,LookAhead_h2,87,2,8
12,LookAhead_h2,83,3,14
13,LookAhead_h2,83,3,18
14,LookAhead_h2,107,3,11
15,LookAhead_h2,79,4,14
16,LookAhead_h2,83,1,5
17,LookAhead_h2,77,2,10
18,LookAhead_h2,91,1,2
19,LookAhead_h2,83,2,9
20,LookAhead_h2,83,3,14
21,MCTSAI,78,1,5
22,LookAhead_h2,89,3,7
23,LookAhead_h2,85,3,19
24,LookAhead_h2,75,2,8
25,MCTSAI,98,1,4
26,LookAhead_h2,81,2,19
27,LookAhead_h2,89,3,13
28,LookAhead_h2,105,2,7
29,LookAhead_h2,79,3,24
30,LookAhead_h2,87,3,12
31,LookAhead_h2,69,4,17
32,MCTSAI,96,2,3
33,LookAhead_h2,85,2,7
34,LookAhead_h2,81,3,14
35,MCTSAI,92,1,3
36,LookAhead_h2,81,3,11
37,LookAhead_h2,75,2,5
38,LookAhead_h2,97,2,5
39,LookAhead_h2,89,3,7
40,MCTSAI,84,1,5
41,LookAhead_h2,97,3,12
42,MCTSAI,104,1,2
43,LookAhead_h2,79,4,17
44,LookAhead_h2,77,3,8
45,LookAhead_h2,67,5,31
46,LookAhead_h2,85,1,8
47,LookAhead_h2,77,3,10
48,LookAhead_h2,83,2,10
49,MCTSAI,102,1,1
50,LookAhead_h2,95,2,13
51,LookAhead_h2,77,4,16
52,LookAhead_h2,92,2,6
53,LookAhead_h2,74,3,13
54,MCTSAI,48,6,30
55,LookAhead_h2,72,4,25
56,LookAhead_h2,92,1,4
57,LookAhead_h2,104,1,3
58,LookAhead_h2,88,2,3
59,LookAhead_h2,90,2,13
60,LookAhead_h2,73,5,22
61,LookAhead_h2,62,4,31
62,LookAhead_h2,78,3,20
63,LookAhead_h2,74,3,10
64,LookAhead_h2,108,1,7
65,LookAhead_h2,102,2,12
66,LookAhead_h2,92,2,9
67,LookAhead_h2,96,3,8
68,MCTSAI,97,1,7
69,LookAhead_h2,94,2,11
70,LookAhead_h2,82,2,4
71,LookAhead_h2,70,2,21
72,LookAhead_h2,86,1,12
73,LookAhead_h2,94,1,4
74,LookAhead_h2,70,3,20
75,LookAhead_h2,88,2,3
76,LookAhead_h2,84,2,12
77,LookAhead_h2,66,2,9
78,LookAhead_h2,88,3,11
79,MCTSAI,99,1,5
80,LookAhead_h2,96,3,9
81,MCTSAI,95,2,6
82,LookAhead_h2,90,2,5
83,LookAhead_h2,73,4,28
84,LookAhead_h2,94,1,3
85,LookAhead_h2,66,4,12
86,MCTSAI,85,2,10
87,MCTSAI,87,1,5
88,LookAhead_h2,94,3,20
89,LookAhead_h2,74,4,21
90,LookAhead_h2,86,4,21
91,MCTSAI,95,1,4
92,LookAhead_h2,104,1,4
93,LookAhead_h2,102,2,6
94,LookAhead_h2,88,3,9
95,LookAhead_h2,90,3,8
96,LookAhead_h2,96,1,7
97,LookAhead_h2,84,3,8
98,LookAhead_h2,90,3,8
99,LookAhead_h2,69,6,41
100,LookAhead_h2,84,2,15
101,LookAhead_h2,75,2,13
