match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1_h2,92,2,6
2,MiniMax_h1_h2,73,2,8
3,MCTSAI,76,5,21
4,MiniMax_h1_h2,69,2,11
5,MiniMax_h1_h2,79,2,10
6,MiniMax_h1_h2,89,3,13
7,MiniMax_h1_h2,75,3,15
8,MiniMax_h1_h2,85,5,16
9,MCTSAI,96,2,4
10,MiniMax_h1_h2,95,2,5
11,MiniMax_h1_h2,64,5,25
12,MiniMax_h1_h2,87,3,13
13,MiniMax_h1_h2,79,3,11
14,MiniMax_h1_h2,67,4,27
15,MiniMax_h1_h2,63,4,15
16,MiniMax_h1_h2,89,1,5
17,MCTSAI,96,2,7
18,MiniMax_h1_h2,71,3,12
19,MiniMax_h1_h2,73,3,12
20,MiniMax_h1_h2,95,4,13
21,MiniMax_h1_h2,97,1,6
22,MiniMax_h1_h2,79,4,14
23,MiniMax_h1_h2,93,5,16
24,MiniMax_h1_h2,79,2,5
25,MiniMax_h1_h2,107,2,10
26,MiniMax_h1_h2,72,4,22
27,MiniMax_h1_h2,69,3,20
28,MiniMax_h1_h2,89,2,7
29,MCTSAI,88,3,19
30,MCTSAI,96,2,4
31,MiniMax_h1_h2,93,2,8
32,MiniMax_h1_h2,105,4,19
33,MiniMax_h1_h2,101,2,7
34,MiniMax_h1_h2,89,3,14
35,MiniMax_h1_h2,93,3,7
36,MiniMax_h1_h2,85,3,11
37,MiniMax_h1_h2,87,1,1
38,MiniMax_h1_h2,75,3,7
39,MiniMax_h1_h2,85,2,11
40,MiniMax_h1_h2,71,5,28
41,MiniMax_h1_h2,83,4,17
42,MiniMax_h1_h2,87,2,10
43,MiniMax_h1_h2,81,2,8
44,MiniMax_h1_h2,83,1,4
45,MCTSAI,90,1,3
46,MiniMax_h1_h2,67,2,5
47,MiniMax_h1_h2,67,6,20
48,MiniMax_h1_h2,101,4,8
49,MiniMax_h1_h2,77,2,16
50,MiniMax_h1_h2,93,1,7
51,MiniMax_h1_h2,93,4,11
52,MiniMax_h1_h2,96,5,25
53,MiniMax_h1_h2,100,2,7
54,MiniMax_h1_h2,84,3,15
55,MiniMax_h1_h2,92,3,15
56,MiniMax_h1_h2,82,4,13
57,MiniMax_h1_h2,68,5,20
58,MiniMax_h1_h2,94,1,5
59,MiniMax_h1_h2,76,4,20
60,MiniMax_h1_h2,94,2,9
61,MiniMax_h1_h2,71,3,16
62,MiniMax_h1_h2,86,4,13
63,MiniMax_h1_h2,94,2,8
64,MiniMax_h1_h2,76,2,9
65,MiniMax_h1_h2,96,3,11
66,MiniMax_h1_h2,96,1,1
67,MiniMax_h1_h2,100,2,12
68,MiniMax_h1_h2,90,4,11
69,MiniMax_h1_h2,88,4,19
70,MiniMax_h1_h2,110,1,4
71,MiniMax_h1_h2,69,6,30
72,MiniMax_h1_h2,92,2,9
73,MiniMax_h1_h2,88,2,10
74,MiniMax_h1_h2,66,2,9
75,MiniMax_h1_h2,92,1,5
76,MiniMax_h1_h2,72,4,24
77,MiniMax_h1_h2,88,4,15
78,MiniMax_h1_h2,100,1,2
79,MiniMax_h1_h2,98,4,10
80,MiniMax_h1_h2,100,2,9
81,MCTSAI,89,1,1
82,MiniMax_h1_h2,88,2,8
83,MiniMax_h1_h2,86,1,6
84,MiniMax_h1_h2,88,4,14
85,MiniMax_h1_h2,84,1,6
86,MiniMax_h1_h2,110,2,5
87,MiniMax_h1_h2,84,3,14
88,MiniMax_h1_h2,82,2,7
89,MiniMax_h1_h2,86,4,12
90,MiniMax_h1_h2,98,3,10
91,MiniMax_h1_h2,90,2,5
92,MiniMax_h1_h2,82,4,16
93,MCTSAI,87,1,3
94,MiniMax_h1_h2,86,3,13
95,MiniMax_h1_h2,84,2,10
96,MiniMax_h1_h2,88,3,12
97,MiniMax_h1_h2,84,2,10
98,MiniMax_h1_h2,80,4,20
99,MiniMax_h1_h2,98,2,11
100,MCTSAI,103,1,1
101,MiniMax_h1_h2,77,4,21
