match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h2,96,1,5
2,MiniMax_h2,85,3,14
3,MiniMax_h2,95,2,8
4,MiniMax_h2,85,3,14
5,MiniMax_h2,97,2,7
6,MiniMax_h2,82,2,13
7,MiniMax_h2,93,1,7
8,MiniMax_h2,79,4,14
9,MiniMax_h2,101,2,11
10,MiniMax_h2,89,1,5
11,MCTSAI,88,2,10
12,MCTSAI,84,1,4
13,MiniMax_h2,107,1,3
14,MiniMax_h2,83,2,5
15,MiniMax_h2,91,2,5
16,MiniMax_h2,105,1,6
17,MiniMax_h2,93,2,14
18,MiniMax_h2,109,2,3
19,MiniMax_h2,85,1,4
20,MCTSAI,80,1,1
21,MiniMax_h2,77,2,21
22,MCTSAI,102,1,1
23,MiniMax_h2,97,2,4
24,MiniMax_h2,80,4,27
25,MiniMax_h2,95,3,11
26,MiniMax_h2,62,7,38
27,MiniMax_h2,85,2,4
28,MiniMax_h2,97,3,9
29,MCTSAI,90,1,5
30,MCTSAI,96,2,5
31,MiniMax_h2,83,2,10
32,MiniMax_h2,88,3,18
33,MiniMax_h2,74,3,17
34,MCTSAI,86,1,1
35,MiniMax_h2,79,4,22
36,MCTSAI,76,3,8
37,MCTSAI,90,2,9
38,MiniMax_h2,81,1,1
39,MiniMax_h2,77,3,11
40,MiniMax_h2,89,1,1
41,MiniMax_h2,89,4,12
42,MCTSAI,90,1,12
43,MiniMax_h2,81,3,6
44,MiniMax_h2,91,1,2
45,MiniMax_h2,85,4,13
46,MiniMax_h2,101,2,9
47,MiniMax_h2,95,2,11
48,MiniMax_h2,89,3,6
49,MiniMax_h2,77,6,33
50,MCTSAI,96,1,5
51,MiniMax_h2,95,2,12
52,MCTSAI,73,2,7
53,MiniMax_h2,90,3,12
54,MiniMax_h2,104,1,9
55,MiniMax_h2,65,5,29
56,MiniMax_h2,90,4,15
57,MiniMax_h2,96,1,5
58,MiniMax_h2,88,3,16
59,MiniMax_h2,84,2,8
60,MiniMax_h2,100,3,10
61,MiniMax_h2,100,3,13
62,MiniMax_h2,84,3,13
63,MiniMax_h2,92,3,10
64,MiniMax_h2,104,1,4
65,MiniMax_h2,102,1,4
66,MiniMax_h2,82,2,9
67,MiniMax_h2,86,3,15
68,MiniMax_h2,80,2,9
69,MiniMax_h2,110,2,13
70,MiniMax_h2,69,4,31
71,MiniMax_h2,108,3,10
72,MCTSAI,93,2,8
73,MiniMax_h2,116,1,5
74,MiniMax_h2,88,3,13
75,MiniMax_h2,92,1,7
76,MiniMax_h2,96,1,5
77,MiniMax_h2,84,3,17
78,MiniMax_h2,98,3,12
79,MiniMax_h2,82,3,13
80,MiniMax_h2,76,3,11
81,MiniMax_h2,100,4,21
82,MiniMax_h2,88,2,15
83,MiniMax_h2,84,3,16
84,MiniMax_h2,91,2,17
85,MiniMax_h2,94,1,9
86,MiniMax_h2,70,3,15
87,MiniMax_h2,82,6,25
88,MiniMax_h2,98,2,13
89,MiniMax_h2,69,6,30
90,MiniMax_h2,76,3,16
91,MiniMax_h2,84,4,17
92,MCTSAI,85,1,4
93,MiniMax_h2,102,2,8
94,MCTSAI,85,3,8
95,MiniMax_h2,78,2,9
96,MiniMax_h2,90,2,8
97,MiniMax_h2,72,3,20
98,MiniMax_h2,76,3,5
99,MiniMax_h2,102,2,8
100,MiniMax_h2,100,2,9
101,MiniMax_h2,96,2,10
