match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MCTSAI,111,4,14
2,MCTSAI,92,5,27
3,MCTSAI,110,3,11
4,MCTSAI,84,4,26
5,MCTSAI,120,1,1
6,MCTSAI,94,2,3
7,StochasticBestGreedy_h2,111,1,1
8,StochasticBestGreedy_h2,93,1,5
9,MCTSAI,106,1,9
10,StochasticBestGreedy_h2,91,1,4
11,StochasticBestGreedy_h2,103,3,12
12,MCTSAI,94,3,19
13,MCTSAI,122,2,11
14,MCTSAI,132,2,4
15,StochasticBestGreedy_h2,89,3,8
16,MCTSAI,112,4,13
17,MCTSAI,104,2,11
18,MCTSAI,118,3,9
19,MCTSAI,112,5,22
20,MCTSAI,114,3,10
21,MCTSAI,122,2,11
22,MCTSAI,126,1,3
23,MCTSAI,112,2,7
24,MCTSAI,96,4,20
25,MCTSAI,114,1,5
26,MCTSAI,110,1,5
27,MCTSAI,82,5,29
28,MCTSAI,116,1,5
29,StochasticBestGreedy_h2,127,1,1
30,MCTSAI,102,3,9
31,MCTSAI,108,4,21
32,StochasticBestGreedy_h2,99,2,6
33,MCTSAI,122,2,6
34,MCTSAI,102,5,25
35,StochasticBestGreedy_h2,107,2,6
36,StochasticBestGreedy_h2,97,1,5
37,StochasticBestGreedy_h2,103,1,3
38,MCTSAI,118,1,5
39,StochasticBestGreedy_h2,93,3,15
40,MCTSAI,118,2,5
41,MCTSAI,110,2,6
42,MCTSAI,72,6,39
43,MCTSAI,118,2,13
44,MCTSAI,92,5,25
45,MCTSAI,110,3,9
46,MCTSAI,112,2,6
47,MCTSAI,116,2,9
48,MCTSAI,102,1,5
49,MCTSAI,88,3,11
50,MCTSAI,108,3,11
51,MCTSAI,104,4,16
52,MCTSAI,95,1,8
53,MCTSAI,107,3,12
54,MCTSAI,107,1,4
55,StochasticBestGreedy_h2,110,1,1
56,MCTSAI,111,2,7
57,MCTSAI,105,3,17
58,MCTSAI,117,2,7
59,StochasticBestGreedy_h2,116,1,3
60,MCTSAI,119,1,2
61,StochasticBestGreedy_h2,116,1,7
62,MCTSAI,105,5,22
63,MCTSAI,111,5,24
64,StochasticBestGreedy_h2,84,5,23
65,MCTSAI,113,2,7
66,MCTSAI,117,2,9
67,MCTSAI,113,2,9
68,MCTSAI,113,3,9
69,MCTSAI,123,3,7
70,MCTSAI,137,2,7
71,MCTSAI,81,6,30
72,StochasticBestGreedy_h2,114,1,4
73,MCTSAI,95,4,23
74,MCTSAI,117,2,10
75,StochasticBestGreedy_h2,106,2,4
76,MCTSAI,113,3,9
77,StochasticBestGreedy_h2,112,1,1
78,MCTSAI,91,6,33
79,MCTSAI,109,5,16
80,MCTSAI,113,5,20
81,MCTSAI,121,1,3
82,MCTSAI,105,2,6
83,MCTSAI,103,3,10
84,MCTSAI,113,3,13
85,StochasticBestGreedy_h2,98,1,4
86,MCTSAI,129,1,7
87,MCTSAI,113,4,19
88,MCTSAI,97,1,2
89,MCTSAI,95,4,16
90,MCTSAI,109,3,9
91,StochasticBestGreedy_h2,114,1,1
92,StochasticBestGreedy_h2,94,2,6
93,MCTSAI,117,2,7
94,MCTSAI,105,1,1
95,MCTSAI,109,3,17
96,MCTSAI,109,3,10
97,StochasticBestGreedy_h2,106,2,2
98,StochasticBestGreedy_h2,88,1,3
99,StochasticBestGreedy_h2,130,1,1
100,MCTSAI,123,1,3
101,MCTSAI,101,3,15
