match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MCTSAI,105,6,28
2,MCTSAI,128,5,27
3,MCTSAI,114,3,17
4,MCTSAI,114,6,27
5,MCTSAI,100,5,22
6,MCTSAI,88,7,33
7,MCTSAI,116,6,23
8,MCTSAI,110,4,28
9,MCTSAI,100,4,32
10,MCTSAI,116,8,44
11,MCTSAI,114,5,29
12,MCTSAI,110,4,24
13,MCTSAI,100,4,19
14,MCTSAI,74,5,48
15,MCTSAI,86,7,49
16,MCTSAI,72,6,46
17,MCTSAI,86,5,35
18,MCTSAI,80,6,33
19,MCTSAI,88,4,29
20,MCTSAI,122,6,30
21,MCTSAI,90,4,27
22,MCTSAI,120,3,22
23,MCTSAI,88,7,43
24,MCTSAI,84,5,24
25,MCTSAI,98,4,27
26,MCTSAI,104,5,34
27,MCTSAI,112,4,20
28,MCTSAI,102,3,18
29,MCTSAI,122,5,30
30,MCTSAI,108,5,34
31,MCTSAI,104,7,38
32,MCTSAI,104,5,23
33,MCTSAI,96,4,15
34,MCTSAI,98,6,28
35,MCTSAI,110,4,34
36,MCTSAI,128,5,25
37,MCTSAI,86,9,45
38,MCTSAI,114,5,34
39,MCTSAI,108,4,24
40,MCTSAI,98,6,34
41,MCTSAI,90,5,26
42,MCTSAI,88,5,30
43,MCTSAI,104,5,23
44,MCTSAI,108,3,19
45,MCTSAI,78,7,30
46,MCTSAI,126,3,14
47,MCTSAI,98,7,36
48,MCTSAI,96,5,23
49,MCTSAI,102,6,31
50,MCTSAI,100,6,30
51,MCTSAI,116,4,21
52,MCTSAI,109,6,27
53,MCTSAI,113,7,31
54,MCTSAI,111,6,28
55,MCTSAI,89,8,35
56,MCTSAI,99,6,25
57,MCTSAI,105,5,27
58,MCTSAI,109,5,24
59,MCTSAI,121,6,26
60,MCTSAI,99,5,27
61,MCTSAI,107,7,34
62,MCTSAI,111,2,12
63,MCTSAI,119,5,27
64,MCTSAI,125,5,17
65,MCTSAI,119,6,28
66,MCTSAI,115,4,17
67,MCTSAI,115,6,26
68,MCTSAI,103,7,35
69,MCTSAI,119,5,18
70,MCTSAI,103,6,28
71,MCTSAI,105,6,25
72,MCTSAI,111,5,22
73,MCTSAI,117,3,14
74,MCTSAI,105,3,15
75,MCTSAI,93,5,25
76,MCTSAI,97,5,23
77,MCTSAI,101,5,42
78,MCTSAI,103,3,12
79,MCTSAI,109,4,20
80,MCTSAI,97,4,15
81,MCTSAI,125,4,14
82,MCTSAI,105,5,25
83,MCTSAI,101,3,19
84,MCTSAI,87,5,23
85,MCTSAI,87,6,31
86,MCTSAI,103,6,32
87,MCTSAI,111,4,22
88,MCTSAI,125,6,29
89,MCTSAI,121,5,33
90,MCTSAI,103,5,27
91,MCTSAI,121,5,22
92,MCTSAI,107,3,8
93,MCTSAI,115,6,23
94,MCTSAI,99,5,26
95,MCTSAI,93,6,29
96,MCTSAI,109,6,31
97,MCTSAI,113,6,38
98,MCTSAI,111,4,15
99,MCTSAI,115,5,16
100,MCTSAI,95,5,17
101,MCTSAI,109,6,26
