match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1_h2,80,2,5
2,MiniMax_h1_h2,81,3,6
3,MiniMax_h1_h2,71,3,7
4,MiniMax_h1_h2,65,4,13
5,MiniMax_h1,76,1,1
6,MiniMax_h1_h2,87,3,9
7,MiniMax_h1,80,2,16
8,MiniMax_h1_h2,79,4,20
9,MiniMax_h1,116,1,1
10,MiniMax_h1,104,1,1
11,MiniMax_h1,88,2,9
12,MiniMax_h1_h2,77,3,10
13,MiniMax_h1_h2,99,2,5
14,MiniMax_h1_h2,83,2,5
15,MiniMax_h1,88,1,5
16,MiniMax_h1_h2,91,2,4
17,MiniMax_h1_h2,79,2,6
18,MiniMax_h1_h2,73,4,13
19,MiniMax_h1_h2,69,2,7
20,MiniMax_h1_h2,83,2,7
21,MiniMax_h1,80,1,1
22,MiniMax_h1_h2,93,1,1
23,MiniMax_h1,104,1,1
24,MiniMax_h1_h2,89,2,4
25,MiniMax_h1_h2,75,2,9
26,MiniMax_h1_h2,63,4,12
27,MiniMax_h1_h2,90,4,24
28,MiniMax_h1_h2,81,3,12
29,MiniMax_h1_h2,71,2,4
30,MiniMax_h1,104,3,17
31,MiniMax_h1_h2,85,2,6
32,MiniMax_h1_h2,77,2,4
33,MiniMax_h1,80,3,8
34,MiniMax_h1,96,1,1
35,MiniMax_h1_h2,85,3,15
36,MiniMax_h1_h2,99,2,6
37,MiniMax_h1_h2,95,2,4
38,MiniMax_h1_h2,79,2,6
39,MiniMax_h1,84,1,4
40,MiniMax_h1_h2,95,1,5
41,MiniMax_h1,100,2,8
42,MiniMax_h1_h2,83,2,4
43,MiniMax_h1_h2,101,2,4
44,MiniMax_h1,84,1,5
45,MiniMax_h1_h2,97,2,4
46,MiniMax_h1_h2,77,3,6
47,MiniMax_h1_h2,85,1,1
48,MiniMax_h1,80,2,6
49,MiniMax_h1_h2,87,2,4
50,MiniMax_h1_h2,97,2,7
51,MiniMax_h1_h2,95,2,4
52,MiniMax_h1_h2,94,1,3
53,MiniMax_h1_h2,86,2,8
54,MiniMax_h1,79,2,8
55,MiniMax_h1_h2,92,1,1
56,MiniMax_h1_h2,84,2,4
57,MiniMax_h1_h2,86,2,4
58,MiniMax_h1_h2,94,2,8
59,MiniMax_h1_h2,90,3,18
60,MiniMax_h1,75,1,1
61,MiniMax_h1_h2,88,3,3
62,MiniMax_h1_h2,82,1,5
63,MiniMax_h1_h2,78,2,6
64,MiniMax_h1_h2,96,1,3
65,MiniMax_h1_h2,90,2,3
66,MiniMax_h1,109,1,3
67,MiniMax_h1_h2,80,1,3
68,MiniMax_h1,83,1,7
69,MiniMax_h1_h2,100,2,4
70,MiniMax_h1_h2,90,3,3
71,MiniMax_h1,87,2,10
72,MiniMax_h1_h2,80,2,7
73,MiniMax_h1,89,1,2
74,MiniMax_h1_h2,80,3,8
75,MiniMax_h1_h2,77,3,14
76,MiniMax_h1_h2,80,2,5
77,MiniMax_h1_h2,74,2,4
78,MiniMax_h1,71,2,5
79,MiniMax_h1_h2,100,2,4
80,MiniMax_h1,87,2,3
81,MiniMax_h1,83,1,3
82,MiniMax_h1_h2,88,2,7
83,MiniMax_h1,87,2,5
84,MiniMax_h1_h2,68,3,7
85,MiniMax_h1_h2,80,2,8
86,MiniMax_h1_h2,80,1,3
87,MiniMax_h1,93,1,5
88,MiniMax_h1_h2,70,4,12
89,MiniMax_h1_h2,100,2,4
90,MiniMax_h1,87,3,10
91,MiniMax_h1,95,2,4
92,MiniMax_h1_h2,86,2,4
93,MiniMax_h1,91,1,1
94,MiniMax_h1_h2,104,2,4
95,MiniMax_h1_h2,84,2,4
96,MiniMax_h1,74,2,14
97,MiniMax_h1,95,1,6
98,MiniMax_h1_h2,86,3,8
99,MiniMax_h1,97,1,1
100,MiniMax_h1,91,1,1
101,MiniMax_h1_h2,74,3,16
