match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1,81,1,5
2,MiniMax_h2,99,2,4
3,MiniMax_h2,99,2,3
4,MiniMax_h2,87,1,5
5,MiniMax_h1,100,2,6
6,MiniMax_h2,83,2,4
7,MiniMax_h2,81,2,7
8,MiniMax_h2,77,2,4
9,MiniMax_h2,87,2,11
10,MiniMax_h1,88,1,6
11,MiniMax_h2,93,1,1
12,MiniMax_h2,87,2,5
13,MiniMax_h1,96,2,4
14,MiniMax_h2,91,2,4
15,MiniMax_h2,97,2,4
16,MiniMax_h2,91,3,8
17,MiniMax_h2,79,2,8
18,MiniMax_h2,71,4,25
19,MiniMax_h2,89,2,4
20,MiniMax_h2,99,2,7
21,MiniMax_h2,97,2,4
22,MiniMax_h1,66,3,3
23,MiniMax_h1,76,2,7
24,MiniMax_h2,91,2,6
25,MiniMax_h2,89,2,4
26,MiniMax_h2,89,3,6
27,MiniMax_h2,89,2,4
28,MiniMax_h1,80,3,14
29,MiniMax_h2,91,2,9
30,MiniMax_h2,85,2,7
31,MiniMax_h2,73,1,3
32,MiniMax_h2,75,4,26
33,MiniMax_h2,73,2,2
34,MiniMax_h1,80,2,4
35,MiniMax_h2,87,2,5
36,MiniMax_h2,91,2,4
37,MiniMax_h1,88,2,9
38,MiniMax_h2,67,2,17
39,MiniMax_h2,79,4,14
40,MiniMax_h1,90,1,8
41,MiniMax_h1,74,4,17
42,MiniMax_h2,83,3,6
43,MiniMax_h2,91,1,3
44,MiniMax_h1,90,2,13
45,MiniMax_h1,84,1,2
46,MiniMax_h2,91,2,4
47,MiniMax_h1,90,1,3
48,MiniMax_h1,86,1,7
49,MiniMax_h2,79,3,7
50,MiniMax_h2,91,1,3
51,MiniMax_h2,79,2,12
52,MiniMax_h2,100,2,5
53,MiniMax_h2,96,2,4
54,MiniMax_h2,90,1,3
55,MiniMax_h2,84,2,11
56,MiniMax_h2,88,1,3
57,MiniMax_h2,74,2,4
58,MiniMax_h1,93,3,15
59,MiniMax_h1,93,1,2
60,MiniMax_h2,96,2,6
61,MiniMax_h2,80,2,5
62,MiniMax_h2,86,2,7
63,MiniMax_h2,74,4,17
64,MiniMax_h1,81,1,1
65,MiniMax_h2,84,3,9
66,MiniMax_h1,83,3,16
67,MiniMax_h2,64,4,27
68,MiniMax_h2,84,1,1
69,MiniMax_h1,77,1,6
70,MiniMax_h2,96,2,10
71,MiniMax_h2,72,3,9
72,MiniMax_h2,92,2,4
73,MiniMax_h2,67,2,13
74,MiniMax_h2,72,2,7
75,MiniMax_h2,78,2,5
76,MiniMax_h2,80,1,3
77,MiniMax_h2,84,2,6
78,MiniMax_h2,82,1,5
79,MiniMax_h1,87,1,6
80,MiniMax_h1,97,1,5
81,MiniMax_h2,90,1,1
82,MiniMax_h1,79,1,6
83,MiniMax_h2,82,2,13
84,MiniMax_h2,70,2,9
85,MiniMax_h2,72,2,6
86,MiniMax_h2,110,1,3
87,MiniMax_h1,101,2,11
88,MiniMax_h2,100,1,3
89,MiniMax_h1,87,3,8
90,MiniMax_h1,93,1,4
91,MiniMax_h2,90,2,4
92,MiniMax_h2,82,3,12
93,MiniMax_h2,86,1,5
94,MiniMax_h2,84,2,11
95,MiniMax_h1,60,4,25
96,MiniMax_h1,91,1,3
97,MiniMax_h2,102,2,7
98,MiniMax_h2,73,4,23
99,MiniMax_h2,74,1,5
100,MiniMax_h1,67,4,16
101,MiniMax_h2,106,2,4
