match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h1,88,4,40
2,LookAhead_h1,75,9,43
3,LookAhead_h1,73,5,43
4,LookAhead_h1,67,6,56
5,LookAhead_h1,93,4,16
6,LookAhead_h1,69,5,46
7,LookAhead_h1,81,7,40
8,LookAhead_h1,81,7,50
9,LookAhead_h1,79,6,52
10,LookAhead_h1,85,7,42
11,LookAhead_h1,91,4,13
12,LookAhead_h1,89,5,39
13,LookAhead_h1,73,8,48
14,LookAhead_h1,87,5,45
15,LookAhead_h1,89,6,49
16,LookAhead_h1,83,6,51
17,LookAhead_h1,93,5,42
18,LookAhead_h1,79,5,43
19,LookAhead_h1,69,6,42
20,LookAhead_h1,85,4,38
21,LookAhead_h1,63,9,61
22,LookAhead_h1,81,6,50
23,LookAhead_h1,71,7,56
24,LookAhead_h1,77,7,50
25,LookAhead_h1,103,5,22
26,LookAhead_h1,87,5,31
27,LookAhead_h1,115,5,11
28,LookAhead_h1,83,5,45
29,LookAhead_h1,85,5,34
30,LookAhead_h1,81,8,55
31,LookAhead_h1,95,5,35
32,LookAhead_h1,87,4,36
33,LookAhead_h1,79,5,45
34,LookAhead_h1,67,7,62
35,LookAhead_h1,81,4,44
36,LookAhead_h1,77,6,57
37,LookAhead_h1,95,6,45
38,LookAhead_h1,75,5,44
39,LookAhead_h1,73,7,56
40,LookAhead_h1,95,5,28
41,LookAhead_h1,65,8,55
42,LookAhead_h1,93,4,27
43,LookAhead_h1,53,8,71
44,LookAhead_h1,79,5,34
45,LookAhead_h1,79,6,55
46,LookAhead_h1,81,8,52
47,LookAhead_h1,81,7,38
48,LookAhead_h1,67,8,71
49,LookAhead_h1,95,5,38
50,LookAhead_h1,83,5,44
51,LookAhead_h1,69,6,41
52,LookAhead_h1,126,1,3
53,LookAhead_h1,94,3,7
54,LookAhead_h1,88,2,14
55,LookAhead_h1,96,2,4
56,LookAhead_h1,106,2,9
57,LookAhead_h1,106,2,8
58,LookAhead_h1,92,4,14
59,LookAhead_h1,86,4,22
60,LookAhead_h1,92,4,22
61,LookAhead_h1,92,3,12
62,LookAhead_h1,106,4,17
63,LookAhead_h1,82,5,24
64,LookAhead_h1,62,6,42
65,LookAhead_h1,108,2,9
66,StochasticBestGreedy_h1,113,2,4
67,LookAhead_h1,94,3,13
68,LookAhead_h1,92,4,11
69,LookAhead_h1,94,2,12
70,LookAhead_h1,94,4,7
71,LookAhead_h1,108,2,10
72,LookAhead_h1,86,3,10
73,StochasticBestGreedy_h1,89,2,4
74,LookAhead_h1,90,3,9
75,LookAhead_h1,98,2,9
76,LookAhead_h1,96,1,3
77,LookAhead_h1,98,3,4
78,LookAhead_h1,92,3,12
79,LookAhead_h1,94,4,18
80,LookAhead_h1,104,3,8
81,LookAhead_h1,96,1,6
82,LookAhead_h1,100,2,7
83,LookAhead_h1,88,1,3
84,LookAhead_h1,92,3,13
85,LookAhead_h1,90,2,14
86,LookAhead_h1,90,4,9
87,LookAhead_h1,76,6,26
88,LookAhead_h1,118,1,3
89,LookAhead_h1,98,3,16
90,LookAhead_h1,98,3,12
91,LookAhead_h1,94,2,5
92,LookAhead_h1,90,2,11
93,LookAhead_h1,94,2,4
94,LookAhead_h1,94,2,13
95,LookAhead_h1,84,3,26
96,LookAhead_h1,112,1,5
97,LookAhead_h1,90,6,28
98,LookAhead_h1,108,1,3
99,LookAhead_h1,74,3,23
100,LookAhead_h1,98,3,15
101,LookAhead_h1,86,4,12
