match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1_h2,72,7,58
2,MiniMax_h1_h2,81,7,49
3,MiniMax_h1_h2,77,6,36
4,MiniMax_h1_h2,97,5,32
5,MiniMax_h1_h2,77,6,35
6,MiniMax_h1_h2,87,8,50
7,MiniMax_h1_h2,71,6,47
8,MiniMax_h1_h2,83,6,34
9,MiniMax_h1_h2,93,6,35
10,MiniMax_h1_h2,61,8,72
11,MiniMax_h1_h2,89,6,43
12,MiniMax_h1_h2,95,6,47
13,MiniMax_h1_h2,113,5,18
14,MiniMax_h1_h2,95,6,39
15,MiniMax_h1_h2,85,8,59
16,MiniMax_h1_h2,71,5,42
17,MiniMax_h1_h2,75,6,39
18,MiniMax_h1_h2,87,6,35
19,MiniMax_h1_h2,97,6,34
20,MiniMax_h1_h2,71,6,57
21,MiniMax_h1_h2,93,7,58
22,MiniMax_h1_h2,95,5,28
23,MiniMax_h1_h2,91,4,31
24,MiniMax_h1_h2,93,4,26
25,MiniMax_h1_h2,73,5,48
26,MiniMax_h1_h2,81,4,44
27,MiniMax_h1_h2,95,7,33
28,MiniMax_h1_h2,81,6,35
29,MiniMax_h1_h2,69,7,60
30,MiniMax_h1_h2,87,6,50
31,MiniMax_h1_h2,71,7,55
32,MiniMax_h1_h2,71,9,62
33,MiniMax_h1_h2,77,8,46
34,MiniMax_h1_h2,87,6,45
35,MiniMax_h1_h2,85,4,33
36,MiniMax_h1_h2,93,7,54
37,MiniMax_h1_h2,79,6,56
38,MiniMax_h1_h2,85,5,30
39,MiniMax_h1_h2,87,7,42
40,MiniMax_h1_h2,69,5,41
41,MiniMax_h1_h2,77,6,48
42,MiniMax_h1_h2,75,7,55
43,MiniMax_h1_h2,95,6,37
44,MiniMax_h1_h2,83,8,58
45,MiniMax_h1_h2,93,5,39
46,MiniMax_h1_h2,103,6,30
47,MiniMax_h1_h2,77,6,26
48,MiniMax_h1_h2,83,5,22
49,MiniMax_h1_h2,107,5,41
50,MiniMax_h1_h2,93,7,44
51,MiniMax_h1_h2,79,6,43
52,MiniMax_h1_h2,76,6,32
53,MiniMax_h1_h2,86,4,19
54,MiniMax_h1_h2,98,3,8
55,MiniMax_h1_h2,80,4,27
56,MiniMax_h1_h2,82,5,25
57,MiniMax_h1_h2,78,6,24
58,MiniMax_h1_h2,78,4,20
59,MiniMax_h1_h2,106,2,7
60,MiniMax_h1_h2,66,5,34
61,MiniMax_h1_h2,98,1,4
62,MiniMax_h1_h2,80,3,15
63,MiniMax_h1_h2,80,3,15
64,MiniMax_h1_h2,86,3,13
65,MiniMax_h1_h2,100,1,4
66,MiniMax_h1_h2,90,3,14
67,MiniMax_h1_h2,84,4,18
68,MiniMax_h1_h2,96,3,11
69,MiniMax_h1_h2,86,4,17
70,MiniMax_h1_h2,78,3,13
71,MiniMax_h1_h2,84,4,18
72,MiniMax_h1_h2,68,6,34
73,MiniMax_h1_h2,70,5,32
74,MiniMax_h1_h2,90,3,14
75,MiniMax_h1_h2,90,3,11
76,MiniMax_h1_h2,82,3,16
77,MiniMax_h1_h2,84,4,13
78,MiniMax_h1_h2,88,4,15
79,MiniMax_h1_h2,68,2,8
80,MiniMax_h1_h2,90,3,8
81,MiniMax_h1_h2,90,4,14
82,MiniMax_h1_h2,100,4,12
83,MiniMax_h1_h2,100,2,8
84,MiniMax_h1_h2,78,3,17
85,MiniMax_h1_h2,96,1,2
86,MiniMax_h1_h2,96,2,5
87,MiniMax_h1_h2,74,5,16
88,MiniMax_h1_h2,82,4,19
89,MiniMax_h1_h2,82,4,24
90,MiniMax_h1_h2,92,3,14
91,MiniMax_h1_h2,98,3,10
92,MiniMax_h1_h2,70,6,28
93,MiniMax_h1_h2,96,2,7
94,MiniMax_h1_h2,90,3,24
95,MiniMax_h1_h2,96,1,7
96,MiniMax_h1_h2,106,2,7
97,MiniMax_h1_h2,98,4,19
98,MiniMax_h1_h2,94,3,12
99,MiniMax_h1_h2,74,6,23
100,MiniMax_h1_h2,84,4,17
101,MiniMax_h1_h2,88,2,12
