match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h2,84,6,38
2,MiniMax_h2,91,5,26
3,MiniMax_h2,103,6,34
4,MiniMax_h2,83,6,34
5,MiniMax_h2,87,7,43
6,MiniMax_h2,89,5,33
7,MiniMax_h2,75,8,59
8,MiniMax_h2,83,6,42
9,MiniMax_h2,83,5,30
10,MiniMax_h2,65,5,47
11,MiniMax_h2,103,5,34
12,MiniMax_h2,112,6,61
13,MiniMax_h2,103,7,46
14,MiniMax_h2,103,7,44
15,MiniMax_h2,67,6,59
16,MiniMax_h2,57,9,66
17,MiniMax_h2,67,8,64
18,MiniMax_h2,87,6,36
19,MiniMax_h2,69,5,49
20,MiniMax_h2,77,9,58
21,MiniMax_h2,99,6,41
22,MiniMax_h2,85,8,45
23,MiniMax_h2,95,8,53
24,MiniMax_h2,79,5,35
25,MiniMax_h2,91,7,43
26,MiniMax_h2,85,5,28
27,MiniMax_h2,91,4,36
28,MiniMax_h2,87,6,29
29,MiniMax_h2,85,4,37
30,MiniMax_h2,67,7,58
31,MiniMax_h2,95,6,49
32,MiniMax_h2,71,6,50
33,MiniMax_h2,99,7,55
34,MiniMax_h2,75,6,53
35,MiniMax_h2,93,6,32
36,MiniMax_h2,83,6,42
37,MiniMax_h2,77,6,41
38,MiniMax_h2,77,7,43
39,MiniMax_h2,73,8,60
40,MiniMax_h2,77,6,48
41,MiniMax_h2,91,3,13
42,MiniMax_h2,75,5,48
43,MiniMax_h2,105,6,25
44,MiniMax_h2,97,5,43
45,MiniMax_h2,73,7,44
46,MiniMax_h2,67,6,51
47,MiniMax_h2,77,6,40
48,MiniMax_h2,81,5,43
49,MiniMax_h2,87,5,40
50,MiniMax_h2,113,6,47
51,MiniMax_h2,73,7,46
52,MiniMax_h2,76,6,37
53,MiniMax_h2,80,3,19
54,MiniMax_h2,86,3,14
55,MiniMax_h2,92,3,17
56,MiniMax_h2,98,2,10
57,MiniMax_h2,80,5,25
58,MiniMax_h2,84,3,18
59,MiniMax_h2,86,4,22
60,MiniMax_h2,88,3,17
61,MiniMax_h2,72,3,18
62,MiniMax_h2,88,4,9
63,MiniMax_h2,104,3,9
64,StochasticBestGreedy_h1,97,1,1
65,MiniMax_h2,92,4,17
66,MiniMax_h2,86,2,8
67,MiniMax_h2,104,2,13
68,MiniMax_h2,86,3,15
69,MiniMax_h2,82,3,14
70,MiniMax_h2,88,4,8
71,MiniMax_h2,108,2,11
72,MiniMax_h2,86,4,19
73,MiniMax_h2,94,4,16
74,StochasticBestGreedy_h1,107,1,2
75,MiniMax_h2,100,3,15
76,MiniMax_h2,98,3,8
77,MiniMax_h2,108,2,11
78,MiniMax_h2,82,5,27
79,MiniMax_h2,94,2,7
80,MiniMax_h2,88,4,18
81,MiniMax_h2,74,3,24
82,MiniMax_h2,86,3,14
83,MiniMax_h2,74,3,24
84,MiniMax_h2,82,3,16
85,MiniMax_h2,94,1,3
86,MiniMax_h2,78,5,20
87,MiniMax_h2,76,3,13
88,MiniMax_h2,94,3,15
89,MiniMax_h2,70,5,27
90,MiniMax_h2,82,6,27
91,MiniMax_h2,88,3,11
92,MiniMax_h2,110,1,5
93,MiniMax_h2,98,1,12
94,MiniMax_h2,88,4,15
95,MiniMax_h2,66,5,29
96,MiniMax_h2,88,6,31
97,MiniMax_h2,94,4,16
98,MiniMax_h2,86,4,20
99,MiniMax_h2,82,4,21
100,MiniMax_h2,112,2,8
101,MiniMax_h2,78,3,20
