match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,StochasticBestGreedy_h2,114,5,30
2,StochasticBestGreedy_h2,113,6,46
3,StochasticBestGreedy_h2,139,4,20
4,StochasticBestGreedy_h2,89,7,46
5,StochasticBestGreedy_h2,125,5,38
6,StochasticBestGreedy_h2,113,5,47
7,StochasticBestGreedy_h2,121,5,28
8,StochasticBestGreedy_h2,117,5,43
9,StochasticBestGreedy_h2,119,4,36
10,StochasticBestGreedy_h2,101,6,43
11,StochasticBestGreedy_h2,129,5,31
12,StochasticBestGreedy_h2,99,6,45
13,StochasticBestGreedy_h2,115,6,39
14,StochasticBestGreedy_h2,75,6,46
15,StochasticBestGreedy_h2,93,8,52
16,StochasticBestGreedy_h2,125,6,46
17,StochasticBestGreedy_h2,129,4,10
18,StochasticBestGreedy_h2,101,5,30
19,StochasticBestGreedy_h2,101,6,48
20,StochasticBestGreedy_h2,109,3,35
21,StochasticBestGreedy_h2,125,6,21
22,StochasticBestGreedy_h2,131,4,31
23,StochasticBestGreedy_h2,95,6,53
24,StochasticBestGreedy_h2,97,5,40
25,StochasticBestGreedy_h2,111,5,39
26,StochasticBestGreedy_h2,113,5,32
27,StochasticBestGreedy_h2,95,7,38
28,StochasticBestGreedy_h2,135,6,38
29,StochasticBestGreedy_h2,111,5,40
30,StochasticBestGreedy_h2,121,5,42
31,StochasticBestGreedy_h2,83,7,57
32,StochasticBestGreedy_h2,111,6,34
33,StochasticBestGreedy_h2,127,6,40
34,StochasticBestGreedy_h2,99,6,53
35,StochasticBestGreedy_h2,129,5,24
36,StochasticBestGreedy_h2,107,6,51
37,StochasticBestGreedy_h2,115,5,40
38,StochasticBestGreedy_h2,113,5,30
39,StochasticBestGreedy_h2,107,6,68
40,StochasticBestGreedy_h2,133,4,34
41,StochasticBestGreedy_h2,133,5,27
42,StochasticBestGreedy_h2,127,6,23
43,StochasticBestGreedy_h2,109,7,45
44,StochasticBestGreedy_h2,115,5,37
45,StochasticBestGreedy_h2,109,6,37
46,StochasticBestGreedy_h2,101,4,29
47,StochasticBestGreedy_h2,101,5,40
48,StochasticBestGreedy_h2,113,6,39
49,StochasticBestGreedy_h2,107,7,43
50,StochasticBestGreedy_h2,81,6,60
51,StochasticBestGreedy_h2,81,8,74
52,StochasticBestGreedy_h2,136,2,4
53,StochasticBestGreedy_h2,112,1,1
54,StochasticBestGreedy_h2,116,2,9
55,StochasticBestGreedy_h2,98,2,11
56,StochasticBestGreedy_h1,137,2,7
57,StochasticBestGreedy_h1,93,5,18
58,StochasticBestGreedy_h2,116,2,5
59,StochasticBestGreedy_h2,108,2,7
60,StochasticBestGreedy_h2,122,1,3
61,StochasticBestGreedy_h1,123,1,1
62,StochasticBestGreedy_h2,110,2,4
63,StochasticBestGreedy_h2,88,4,23
64,StochasticBestGreedy_h2,116,2,5
65,StochasticBestGreedy_h1,97,3,13
66,StochasticBestGreedy_h1,113,1,1
67,StochasticBestGreedy_h1,117,3,12
68,StochasticBestGreedy_h2,116,1,1
69,StochasticBestGreedy_h2,92,2,15
70,StochasticBestGreedy_h2,108,1,3
71,StochasticBestGreedy_h1,123,1,3
72,StochasticBestGreedy_h2,96,4,16
73,StochasticBestGreedy_h1,123,1,7
74,StochasticBestGreedy_h1,115,2,8
75,StochasticBestGreedy_h1,121,3,12
76,StochasticBestGreedy_h1,115,3,8
77,StochasticBestGreedy_h1,119,3,7
78,StochasticBestGreedy_h1,109,2,6
79,StochasticBestGreedy_h1,123,3,12
80,StochasticBestGreedy_h2,140,1,1
81,StochasticBestGreedy_h1,135,1,3
82,StochasticBestGreedy_h2,114,1,3
83,StochasticBestGreedy_h1,125,1,5
84,StochasticBestGreedy_h2,130,1,3
85,StochasticBestGreedy_h2,116,2,6
86,StochasticBestGreedy_h2,126,1,3
87,StochasticBestGreedy_h1,113,2,9
88,StochasticBestGreedy_h2,136,1,3
89,StochasticBestGreedy_h1,137,1,7
90,StochasticBestGreedy_h2,120,2,4
91,StochasticBestGreedy_h1,125,2,7
92,StochasticBestGreedy_h2,112,2,3
93,StochasticBestGreedy_h1,105,2,10
94,StochasticBestGreedy_h1,109,3,12
95,StochasticBestGreedy_h1,137,1,5
96,StochasticBestGreedy_h2,112,2,4
97,StochasticBestGreedy_h1,109,4,13
98,StochasticBestGreedy_h2,128,1,3
99,StochasticBestGreedy_h2,108,1,1
100,StochasticBestGreedy_h2,118,1,3
101,StochasticBestGreedy_h2,108,3,9
