match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1,82,3,8
2,MiniMax_h1,89,7,40
3,MiniMax_h1,103,6,23
4,MiniMax_h1,67,7,42
5,MiniMax_h1,91,5,25
6,MiniMax_h1,99,6,30
7,MiniMax_h1,81,6,38
8,MiniMax_h1,89,5,30
9,MiniMax_h1,111,6,37
10,MiniMax_h1,93,7,35
11,MiniMax_h1,62,7,43
12,MiniMax_h1,85,6,31
13,MiniMax_h1,81,6,29
14,MiniMax_h1,97,6,36
15,MiniMax_h1,79,5,27
16,MiniMax_h1,79,8,61
17,MiniMax_h1,81,5,23
18,MiniMax_h1,115,4,12
19,MiniMax_h1,87,6,38
20,MiniMax_h1,85,6,44
21,MiniMax_h1,67,8,62
22,MiniMax_h1,103,3,17
23,MiniMax_h1,87,4,13
24,MiniMax_h1,88,5,27
25,MiniMax_h1,113,3,13
26,MiniMax_h1,97,6,33
27,MiniMax_h1,85,5,20
28,MiniMax_h1,91,4,14
29,MiniMax_h1,97,3,12
30,MiniMax_h1,93,5,30
31,MiniMax_h1,85,6,43
32,MiniMax_h1,97,7,31
33,MiniMax_h1,101,4,23
34,MiniMax_h1,99,4,27
35,MiniMax_h1,69,7,33
36,MiniMax_h1,103,7,34
37,MiniMax_h1,97,5,30
38,MiniMax_h1,105,3,16
39,MiniMax_h1,101,4,27
40,MiniMax_h1,101,6,28
41,MiniMax_h1,85,7,35
42,MiniMax_h1,81,4,22
43,MiniMax_h1,95,5,28
44,MiniMax_h1,79,7,37
45,MiniMax_h1,115,6,26
46,MiniMax_h1,75,7,39
47,MiniMax_h1,113,2,8
48,MiniMax_h1,79,6,27
49,MiniMax_h1,91,3,6
50,MiniMax_h1,101,5,29
51,MiniMax_h1,93,7,31
52,MiniMax_h1,100,6,40
53,MiniMax_h1,108,5,21
54,MiniMax_h1,90,5,18
55,MiniMax_h1,82,8,47
56,MiniMax_h1,74,6,51
57,MiniMax_h1,90,5,36
58,MiniMax_h1,100,6,31
59,MiniMax_h1,62,6,51
60,MiniMax_h1,96,5,23
61,MiniMax_h1,92,5,26
62,MiniMax_h1,92,5,16
63,MiniMax_h1,98,7,37
64,MiniMax_h1,92,4,18
65,MiniMax_h1,76,6,48
66,MiniMax_h1,78,8,50
67,MiniMax_h1,76,5,39
68,MiniMax_h1,82,3,13
69,MiniMax_h1,94,4,30
70,MiniMax_h1,100,5,24
71,MiniMax_h1,90,6,46
72,MiniMax_h1,86,6,38
73,MiniMax_h1,80,8,41
74,MiniMax_h1,78,7,41
75,MiniMax_h1,92,4,22
76,MiniMax_h1,98,5,26
77,MiniMax_h1,84,7,37
78,MiniMax_h1,72,7,50
79,MiniMax_h1,78,6,32
80,MiniMax_h1,76,4,26
81,MiniMax_h1,68,7,44
82,MiniMax_h1,102,6,27
83,MiniMax_h1,122,2,11
84,MiniMax_h1,70,7,31
85,MiniMax_h1,84,6,43
86,MiniMax_h1,112,4,21
87,MiniMax_h1,76,5,22
88,MiniMax_h1,80,6,31
89,MiniMax_h1,82,5,33
90,MiniMax_h1,90,5,26
91,MiniMax_h1,58,8,55
92,MiniMax_h1,94,5,35
93,MiniMax_h1,90,7,44
94,MiniMax_h1,118,4,16
95,MiniMax_h1,90,6,46
96,MiniMax_h1,92,6,30
97,MiniMax_h1,68,6,54
98,MiniMax_h1,104,5,18
99,MiniMax_h1,104,4,32
100,MiniMax_h1,86,7,38
101,MiniMax_h1,104,4,21
