match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,StochasticBestGreedy_h1,130,2,9
2,StochasticBestGreedy_h1,105,4,21
3,StochasticBestGreedy_h1,117,2,8
4,StochasticBestGreedy_h1,139,2,13
5,StochasticBestGreedy_h1,119,5,15
6,StochasticBestGreedy_h1,129,4,13
7,StochasticBestGreedy_h1,81,7,46
8,StochasticBestGreedy_h1,113,3,14
9,StochasticBestGreedy_h1,129,5,25
10,StochasticBestGreedy_h1,109,4,13
11,StochasticBestGreedy_h1,165,2,4
12,StochasticBestGreedy_h1,115,5,19
13,StochasticBestGreedy_h1,127,5,27
14,StochasticGreedy_h1,152,1,1
15,StochasticBestGreedy_h1,129,4,21
16,StochasticBestGreedy_h1,125,5,25
17,StochasticBestGreedy_h1,119,3,12
18,StochasticBestGreedy_h1,111,4,17
19,StochasticBestGreedy_h1,125,4,24
20,StochasticBestGreedy_h1,113,4,21
21,StochasticBestGreedy_h1,115,4,18
22,StochasticBestGreedy_h1,121,4,19
23,StochasticBestGreedy_h1,105,8,36
24,StochasticBestGreedy_h1,123,3,8
25,StochasticBestGreedy_h1,113,4,16
26,StochasticBestGreedy_h1,121,3,10
27,StochasticBestGreedy_h1,183,1,3
28,StochasticBestGreedy_h1,197,1,2
29,StochasticBestGreedy_h1,121,4,13
30,StochasticBestGreedy_h1,115,4,11
31,StochasticBestGreedy_h1,117,2,17
32,StochasticBestGreedy_h1,117,5,27
33,StochasticBestGreedy_h1,117,3,8
34,StochasticBestGreedy_h1,119,4,27
35,StochasticBestGreedy_h1,109,3,10
36,StochasticBestGreedy_h1,135,2,6
37,StochasticBestGreedy_h1,126,5,26
38,StochasticBestGreedy_h1,119,3,10
39,StochasticBestGreedy_h1,115,6,31
40,StochasticBestGreedy_h1,115,7,20
41,StochasticBestGreedy_h1,105,4,14
42,StochasticBestGreedy_h1,115,5,25
43,StochasticBestGreedy_h1,127,2,8
44,StochasticBestGreedy_h1,105,4,18
45,StochasticBestGreedy_h1,101,3,16
46,StochasticBestGreedy_h1,129,3,13
47,StochasticBestGreedy_h1,107,6,27
48,StochasticBestGreedy_h1,127,5,17
49,StochasticBestGreedy_h1,137,3,17
50,StochasticBestGreedy_h1,101,6,37
51,StochasticBestGreedy_h1,135,2,11
52,StochasticGreedy_h1,217,3,14
53,StochasticGreedy_h1,147,4,30
54,StochasticGreedy_h1,439,3,6
55,StochasticGreedy_h1,107,6,44
56,StochasticGreedy_h1,189,5,30
57,StochasticGreedy_h1,147,5,22
58,StochasticGreedy_h1,109,4,35
59,StochasticGreedy_h1,117,6,39
60,StochasticGreedy_h1,179,3,17
61,StochasticGreedy_h1,117,5,38
62,StochasticGreedy_h1,153,6,27
63,StochasticGreedy_h1,159,4,29
64,StochasticGreedy_h1,183,4,19
65,StochasticGreedy_h1,195,3,13
66,StochasticGreedy_h1,117,4,40
67,StochasticGreedy_h1,165,6,31
68,StochasticGreedy_h1,157,5,27
69,StochasticGreedy_h1,191,4,19
70,StochasticGreedy_h1,187,6,40
71,StochasticGreedy_h1,131,5,41
72,StochasticGreedy_h1,157,5,39
73,StochasticGreedy_h1,143,5,41
74,StochasticGreedy_h1,141,4,33
75,StochasticGreedy_h1,189,3,23
76,StochasticGreedy_h1,133,6,29
77,StochasticGreedy_h1,177,2,3
78,StochasticGreedy_h1,225,3,9
79,StochasticGreedy_h1,321,2,3
80,StochasticGreedy_h1,171,5,30
81,StochasticGreedy_h1,171,3,19
82,StochasticGreedy_h1,149,5,30
83,StochasticGreedy_h1,229,2,4
84,StochasticGreedy_h1,143,5,29
85,StochasticGreedy_h1,157,6,31
86,StochasticGreedy_h1,179,4,31
87,StochasticGreedy_h1,133,5,31
88,StochasticGreedy_h1,165,5,33
89,StochasticGreedy_h1,147,5,31
90,StochasticGreedy_h1,167,4,21
91,StochasticGreedy_h1,159,5,21
92,StochasticGreedy_h1,181,4,29
93,StochasticGreedy_h1,219,4,24
94,StochasticGreedy_h1,161,3,22
95,StochasticGreedy_h1,171,4,29
96,StochasticGreedy_h1,201,5,23
97,StochasticGreedy_h1,207,4,22
98,StochasticGreedy_h1,139,5,44
99,StochasticGreedy_h1,179,4,25
100,StochasticGreedy_h1,165,3,19
101,StochasticGreedy_h1,217,4,8
