match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,StochasticGreedy_h1,195,1,7
2,StochasticGreedy_h2,181,2,4
3,StochasticGreedy_h2,227,1,1
4,StochasticGreedy_h2,221,2,4
5,StochasticGreedy_h1,178,2,10
6,StochasticGreedy_h2,275,1,5
7,StochasticGreedy_h2,195,2,4
8,StochasticGreedy_h2,177,1,3
9,StochasticGreedy_h2,187,2,4
10,StochasticGreedy_h1,162,4,19
11,StochasticGreedy_h2,227,2,5
12,StochasticGreedy_h1,168,1,7
13,StochasticGreedy_h2,213,2,2
14,StochasticGreedy_h2,165,1,3
15,StochasticGreedy_h2,195,2,5
16,StochasticGreedy_h2,213,1,2
17,StochasticGreedy_h2,207,2,5
18,StochasticGreedy_h2,195,2,4
19,StochasticGreedy_h1,138,3,18
20,StochasticGreedy_h2,153,2,3
21,StochasticGreedy_h2,241,1,3
22,StochasticGreedy_h2,189,1,1
23,StochasticGreedy_h2,237,1,3
24,StochasticGreedy_h2,227,2,5
25,StochasticGreedy_h2,145,2,5
26,StochasticGreedy_h2,191,2,5
27,StochasticGreedy_h2,201,1,2
28,StochasticGreedy_h1,152,1,6
29,StochasticGreedy_h2,193,3,8
30,StochasticGreedy_h2,189,2,3
31,StochasticGreedy_h2,183,2,5
32,StochasticGreedy_h2,213,2,5
33,StochasticGreedy_h2,165,5,16
34,StochasticGreedy_h2,231,2,5
35,StochasticGreedy_h1,180,3,17
36,StochasticGreedy_h1,168,3,12
37,StochasticGreedy_h2,151,1,3
38,StochasticGreedy_h2,183,1,3
39,StochasticGreedy_h2,167,1,1
40,StochasticGreedy_h1,144,2,13
41,StochasticGreedy_h2,195,3,8
42,StochasticGreedy_h2,193,1,1
43,StochasticGreedy_h1,206,1,8
44,StochasticGreedy_h2,181,1,3
45,StochasticGreedy_h2,203,3,6
46,StochasticGreedy_h2,165,2,5
47,StochasticGreedy_h2,195,2,3
48,StochasticGreedy_h2,213,2,4
49,StochasticGreedy_h2,201,2,3
50,StochasticGreedy_h2,211,1,1
51,StochasticGreedy_h1,198,1,7
52,StochasticGreedy_h2,146,2,15
53,StochasticGreedy_h2,238,1,3
54,StochasticGreedy_h2,218,2,7
55,StochasticGreedy_h2,170,3,14
56,StochasticGreedy_h2,148,2,7
57,StochasticGreedy_h2,186,2,3
58,StochasticGreedy_h2,192,2,5
59,StochasticGreedy_h2,160,1,3
60,StochasticGreedy_h1,195,1,1
61,StochasticGreedy_h2,182,1,5
62,StochasticGreedy_h2,186,1,1
63,StochasticGreedy_h2,144,3,12
64,StochasticGreedy_h2,168,2,3
65,StochasticGreedy_h2,198,2,5
66,StochasticGreedy_h2,186,3,5
67,StochasticGreedy_h2,186,2,6
68,StochasticGreedy_h1,235,1,5
69,StochasticGreedy_h2,194,2,2
70,StochasticGreedy_h1,253,1,5
71,StochasticGreedy_h1,157,2,11
72,StochasticGreedy_h2,206,1,3
73,StochasticGreedy_h1,181,1,5
74,StochasticGreedy_h2,172,3,4
75,StochasticGreedy_h2,156,5,20
76,StochasticGreedy_h1,215,1,1
77,StochasticGreedy_h1,293,1,5
78,StochasticGreedy_h2,162,3,13
79,StochasticGreedy_h2,152,2,11
80,StochasticGreedy_h2,156,3,8
81,StochasticGreedy_h2,150,2,11
82,StochasticGreedy_h2,216,3,4
83,StochasticGreedy_h2,154,1,1
84,StochasticGreedy_h2,164,4,19
85,StochasticGreedy_h2,198,2,3
86,StochasticGreedy_h2,156,2,13
87,StochasticGreedy_h2,168,3,16
88,StochasticGreedy_h2,196,1,1
89,StochasticGreedy_h2,170,3,8
90,StochasticGreedy_h2,204,1,8
91,StochasticGreedy_h2,214,1,1
92,StochasticGreedy_h2,188,2,5
93,StochasticGreedy_h1,149,2,5
94,StochasticGreedy_h2,148,3,15
95,StochasticGreedy_h2,146,2,18
96,StochasticGreedy_h2,190,2,3
97,StochasticGreedy_h2,162,1,7
98,StochasticGreedy_h2,180,4,11
99,StochasticGreedy_h2,220,2,4
100,StochasticGreedy_h2,194,2,11
101,StochasticGreedy_h1,217,1,3
