match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h2,114,5,22
2,LookAhead_h2,79,4,26
3,LookAhead_h2,93,7,26
4,LookAhead_h2,87,6,23
5,LookAhead_h2,101,4,20
6,LookAhead_h2,89,7,53
7,LookAhead_h2,107,5,25
8,LookAhead_h2,101,7,36
9,LookAhead_h2,89,6,25
10,LookAhead_h2,81,6,30
11,LookAhead_h2,83,6,35
12,LookAhead_h2,89,8,48
13,LookAhead_h2,103,5,27
14,LookAhead_h2,97,7,36
15,LookAhead_h2,87,5,28
16,LookAhead_h2,79,5,40
17,LookAhead_h2,89,6,36
18,LookAhead_h2,103,8,45
19,LookAhead_h2,81,5,26
20,LookAhead_h2,89,4,30
21,LookAhead_h2,93,6,31
22,LookAhead_h2,111,4,15
23,LookAhead_h2,75,6,42
24,LookAhead_h2,109,4,17
25,LookAhead_h2,119,4,19
26,LookAhead_h2,79,7,32
27,LookAhead_h2,95,6,35
28,LookAhead_h2,79,7,47
29,LookAhead_h2,101,8,40
30,LookAhead_h2,99,5,28
31,LookAhead_h2,99,5,24
32,LookAhead_h2,97,5,28
33,LookAhead_h2,87,7,33
34,LookAhead_h2,85,5,35
35,LookAhead_h2,109,7,36
36,LookAhead_h2,75,9,51
37,LookAhead_h2,79,7,42
38,LookAhead_h2,97,6,29
39,LookAhead_h2,97,7,34
40,LookAhead_h2,93,6,34
41,LookAhead_h2,85,6,32
42,LookAhead_h2,113,2,9
43,LookAhead_h2,75,7,38
44,LookAhead_h2,91,6,28
45,LookAhead_h2,87,6,24
46,LookAhead_h2,85,7,40
47,LookAhead_h2,105,7,29
48,LookAhead_h2,83,9,59
49,LookAhead_h2,91,5,30
50,LookAhead_h2,81,8,37
51,LookAhead_h2,83,6,38
52,LookAhead_h2,100,5,32
53,LookAhead_h2,92,6,34
54,LookAhead_h2,68,5,42
55,LookAhead_h2,106,6,23
56,LookAhead_h2,106,4,19
57,LookAhead_h2,106,6,27
58,LookAhead_h2,108,5,27
59,LookAhead_h2,94,6,26
60,LookAhead_h2,124,2,15
61,LookAhead_h2,104,5,24
62,LookAhead_h2,90,3,18
63,LookAhead_h2,108,4,23
64,LookAhead_h2,92,6,38
65,LookAhead_h2,98,7,47
66,LookAhead_h2,84,5,28
67,LookAhead_h2,92,5,30
68,LookAhead_h2,106,2,12
69,LookAhead_h2,88,5,29
70,LookAhead_h2,110,5,30
71,LookAhead_h2,108,3,14
72,LookAhead_h2,82,6,37
73,LookAhead_h2,102,6,34
74,LookAhead_h2,92,6,38
75,LookAhead_h2,100,7,45
76,LookAhead_h2,108,7,33
77,LookAhead_h2,86,6,45
78,LookAhead_h2,72,7,62
79,LookAhead_h2,102,4,22
80,LookAhead_h2,78,6,34
81,LookAhead_h2,106,5,25
82,LookAhead_h2,90,5,33
83,LookAhead_h2,74,5,35
84,LookAhead_h2,72,6,38
85,LookAhead_h2,100,5,35
86,LookAhead_h2,70,7,40
87,LookAhead_h2,114,6,28
88,LookAhead_h2,74,5,24
89,LookAhead_h2,96,5,31
90,LookAhead_h2,88,8,44
91,LookAhead_h2,76,6,48
92,LookAhead_h2,100,4,26
93,LookAhead_h2,104,4,27
94,LookAhead_h2,86,5,31
95,LookAhead_h2,70,5,23
96,LookAhead_h2,96,5,24
97,LookAhead_h2,98,4,19
98,LookAhead_h2,98,3,19
99,LookAhead_h2,96,7,30
100,LookAhead_h2,102,5,36
101,LookAhead_h2,102,6,27
