match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1_h2,90,8,36
2,MiniMax_h1_h2,93,8,38
3,MiniMax_h1_h2,117,6,24
4,MiniMax_h1_h2,83,8,42
5,MiniMax_h1_h2,93,8,47
6,MiniMax_h1_h2,107,5,32
7,MiniMax_h1_h2,99,6,35
8,MiniMax_h1_h2,93,5,18
9,MiniMax_h1_h2,97,6,32
10,MiniMax_h1_h2,105,7,21
11,MiniMax_h1_h2,111,5,19
12,MiniMax_h1_h2,101,6,29
13,MiniMax_h1_h2,101,6,29
14,MiniMax_h1_h2,87,9,49
15,MiniMax_h1_h2,87,7,40
16,MiniMax_h1_h2,97,5,31
17,MiniMax_h1_h2,78,8,57
18,MiniMax_h1_h2,99,5,23
19,MiniMax_h1_h2,105,6,32
20,MiniMax_h1_h2,99,6,31
21,MiniMax_h1_h2,85,6,45
22,MiniMax_h1_h2,103,6,27
23,MiniMax_h1_h2,99,7,40
24,MiniMax_h1_h2,115,6,34
25,MiniMax_h1_h2,77,8,41
26,MiniMax_h1_h2,97,4,19
27,MiniMax_h1_h2,103,6,42
28,MiniMax_h1_h2,83,8,49
29,MiniMax_h1_h2,109,8,36
30,MiniMax_h1_h2,87,7,32
31,MiniMax_h1_h2,105,6,29
32,MiniMax_h1_h2,89,8,39
33,MiniMax_h1_h2,97,7,40
34,MiniMax_h1_h2,101,6,24
35,MiniMax_h1_h2,125,4,21
36,MiniMax_h1_h2,73,7,50
37,MiniMax_h1_h2,81,8,53
38,MiniMax_h1_h2,101,7,30
39,MiniMax_h1_h2,95,8,42
40,MiniMax_h1_h2,93,6,26
41,MiniMax_h1_h2,95,8,36
42,MiniMax_h1_h2,67,9,52
43,MiniMax_h1_h2,95,3,11
44,MiniMax_h1_h2,97,7,36
45,MiniMax_h1_h2,99,6,28
46,MiniMax_h1_h2,97,5,28
47,MiniMax_h1_h2,103,5,24
48,MiniMax_h1_h2,101,5,17
49,MiniMax_h1_h2,95,5,25
50,MiniMax_h1_h2,105,5,25
51,MiniMax_h1_h2,75,9,45
52,MiniMax_h1_h2,102,7,38
53,MiniMax_h1_h2,88,5,38
54,MiniMax_h1_h2,70,6,32
55,MiniMax_h1_h2,96,7,45
56,MiniMax_h1_h2,86,6,38
57,MiniMax_h1_h2,120,8,31
58,MiniMax_h1_h2,74,6,35
59,MiniMax_h1_h2,100,8,39
60,MiniMax_h1_h2,84,8,39
61,MiniMax_h1_h2,92,6,32
62,MiniMax_h1_h2,98,5,29
63,MiniMax_h1_h2,90,1,3
64,MiniMax_h1_h2,90,5,20
65,MiniMax_h1_h2,100,7,44
66,MiniMax_h1_h2,102,6,33
67,MiniMax_h1_h2,90,7,51
68,MiniMax_h1_h2,94,6,37
69,MiniMax_h1_h2,106,6,24
70,MiniMax_h1_h2,94,7,43
71,MiniMax_h1_h2,108,6,28
72,MiniMax_h1_h2,82,7,34
73,MiniMax_h1_h2,84,5,30
74,MiniMax_h1_h2,88,6,35
75,MiniMax_h1_h2,82,7,56
76,MiniMax_h1_h2,84,7,42
77,MiniMax_h1_h2,86,8,44
78,MiniMax_h1_h2,106,6,41
79,MiniMax_h1_h2,94,6,38
80,MiniMax_h1_h2,90,6,41
81,MiniMax_h1_h2,112,5,24
82,MiniMax_h1_h2,108,6,32
83,MiniMax_h1_h2,94,7,50
84,MiniMax_h1_h2,56,7,62
85,MiniMax_h1_h2,100,7,31
86,MiniMax_h1_h2,124,5,33
87,MiniMax_h1_h2,102,4,19
88,MiniMax_h1_h2,88,6,31
89,MiniMax_h1_h2,50,8,66
90,MiniMax_h1_h2,112,7,31
91,MiniMax_h1_h2,88,6,24
92,MiniMax_h1_h2,88,4,15
93,MiniMax_h1_h2,96,4,24
94,MiniMax_h1_h2,90,4,28
95,MiniMax_h1_h2,110,3,14
96,MiniMax_h1_h2,66,8,56
97,MiniMax_h1_h2,94,5,27
98,MiniMax_h1_h2,88,6,25
99,MiniMax_h1_h2,80,8,53
100,MiniMax_h1_h2,100,6,30
101,MiniMax_h1_h2,78,7,41
