match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,LookAhead_h1,74,10,86
2,LookAhead_h1,79,10,93
3,LookAhead_h1,37,10,109
4,LookAhead_h1,39,10,104
5,LookAhead_h1,95,9,79
6,LookAhead_h1,59,10,97
7,LookAhead_h1,61,10,100
8,LookAhead_h1,61,10,91
9,LookAhead_h1,49,10,100
10,LookAhead_h1,97,10,81
11,LookAhead_h1,41,10,111
12,LookAhead_h1,65,10,91
13,LookAhead_h1,31,10,114
14,LookAhead_h1,68,10,98
15,LookAhead_h1,71,10,101
16,LookAhead_h1,73,10,92
17,LookAhead_h1,23,10,116
18,LookAhead_h1,37,10,112
19,LookAhead_h1,65,10,89
20,LookAhead_h1,63,10,100
21,LookAhead_h1,95,10,93
22,LookAhead_h1,61,10,92
23,LookAhead_h1,59,10,99
24,LookAhead_h1,45,10,103
25,LookAhead_h1,65,10,87
26,LookAhead_h1,85,10,87
27,LookAhead_h1,73,10,89
28,LookAhead_h1,81,10,91
29,LookAhead_h1,37,10,104
30,LookAhead_h1,49,10,103
31,LookAhead_h1,71,10,99
32,LookAhead_h1,25,10,110
33,LookAhead_h1,49,10,98
34,LookAhead_h1,33,10,115
35,LookAhead_h1,57,10,102
36,LookAhead_h1,91,10,90
37,LookAhead_h1,39,10,105
38,LookAhead_h1,75,10,95
39,LookAhead_h1,31,10,111
40,LookAhead_h1,29,10,112
41,LookAhead_h1,73,10,100
42,LookAhead_h1,75,10,92
43,LookAhead_h1,45,10,107
44,LookAhead_h1,93,10,79
45,LookAhead_h1,84,10,92
46,LookAhead_h1,67,10,92
47,LookAhead_h1,65,10,102
48,LookAhead_h1,43,10,110
49,LookAhead_h1,87,10,94
50,LookAhead_h1,45,10,104
51,LookAhead_h1,45,10,104
52,LookAhead_h1,44,10,106
53,LookAhead_h1,74,10,92
54,LookAhead_h1,90,10,91
55,LookAhead_h1,38,10,109
56,LookAhead_h1,54,10,94
57,LookAhead_h1,60,10,102
58,LookAhead_h1,56,10,101
59,LookAhead_h1,84,10,87
60,LookAhead_h1,92,10,89
61,LookAhead_h1,36,10,110
62,LookAhead_h1,54,10,106
63,LookAhead_h1,78,10,97
64,LookAhead_h1,58,10,98
65,LookAhead_h1,22,10,117
66,LookAhead_h1,104,10,79
67,LookAhead_h1,70,10,100
68,LookAhead_h1,50,10,99
69,LookAhead_h1,78,10,100
70,LookAhead_h1,76,10,84
71,LookAhead_h1,40,10,112
72,LookAhead_h1,48,10,108
73,LookAhead_h1,40,10,109
74,LookAhead_h1,38,10,111
75,LookAhead_h1,21,10,117
76,LookAhead_h1,30,10,112
77,LookAhead_h1,46,10,104
78,LookAhead_h1,68,10,94
79,LookAhead_h1,76,10,91
80,LookAhead_h1,60,10,105
81,LookAhead_h1,22,10,113
82,LookAhead_h1,101,10,82
83,LookAhead_h1,60,10,91
84,LookAhead_h1,52,10,104
85,LookAhead_h1,36,10,108
86,LookAhead_h1,70,10,90
87,LookAhead_h1,30,10,112
88,LookAhead_h1,43,10,108
89,LookAhead_h1,50,10,103
90,LookAhead_h1,42,10,107
91,LookAhead_h1,54,10,105
92,LookAhead_h1,20,10,117
93,LookAhead_h1,65,10,98
94,LookAhead_h1,40,10,105
95,LookAhead_h1,62,10,102
96,LookAhead_h1,52,10,95
97,LookAhead_h1,69,10,98
98,LookAhead_h1,72,10,91
99,LookAhead_h1,52,10,97
100,LookAhead_h1,80,10,99
101,LookAhead_h1,46,10,102
