match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h1_h2,66,10,101
2,MiniMax_h1_h2,87,10,90
3,MiniMax_h1_h2,89,10,90
4,MiniMax_h1_h2,35,10,111
5,MiniMax_h1_h2,36,10,110
6,MiniMax_h1_h2,20,10,116
7,MiniMax_h1_h2,103,10,75
8,MiniMax_h1_h2,75,10,96
9,MiniMax_h1_h2,21,10,116
10,MiniMax_h1_h2,55,10,102
11,MiniMax_h1_h2,63,10,96
12,MiniMax_h1_h2,62,10,96
13,MiniMax_h1_h2,53,10,107
14,MiniMax_h1_h2,43,10,103
15,MiniMax_h1_h2,23,10,115
16,MiniMax_h1_h2,41,10,103
17,MiniMax_h1_h2,101,10,91
18,MiniMax_h1_h2,35,10,106
19,MiniMax_h1_h2,93,10,81
20,MiniMax_h1_h2,25,10,116
21,MiniMax_h1_h2,66,10,98
22,MiniMax_h1_h2,97,10,85
23,MiniMax_h1_h2,77,10,88
24,MiniMax_h1_h2,93,10,85
25,MiniMax_h1_h2,107,10,84
26,MiniMax_h1_h2,21,10,116
27,MiniMax_h1_h2,47,10,108
28,MiniMax_h1_h2,82,10,95
29,MiniMax_h1_h2,85,10,88
30,MiniMax_h1_h2,29,10,114
31,MiniMax_h1_h2,101,10,77
32,MiniMax_h1_h2,79,10,76
33,MiniMax_h1_h2,89,10,94
34,MiniMax_h1_h2,93,10,94
35,MiniMax_h1_h2,105,10,72
36,MiniMax_h1_h2,51,10,110
37,MiniMax_h1_h2,77,10,94
38,MiniMax_h1_h2,111,10,80
39,MiniMax_h1_h2,59,10,103
40,MiniMax_h1_h2,91,10,90
41,MiniMax_h1_h2,69,10,102
42,MiniMax_h1_h2,15,10,117
43,MiniMax_h1_h2,49,10,109
44,MiniMax_h1_h2,73,10,85
45,MiniMax_h1_h2,93,10,101
46,MiniMax_h1_h2,42,10,101
47,MiniMax_h1_h2,69,10,97
48,MiniMax_h1_h2,71,10,97
49,MiniMax_h1_h2,93,10,90
50,MiniMax_h1_h2,25,10,115
51,MiniMax_h1_h2,59,10,103
52,MiniMax_h1_h2,98,10,90
53,MiniMax_h1_h2,52,10,98
54,MiniMax_h1_h2,28,10,114
55,MiniMax_h1_h2,70,10,102
56,MiniMax_h1_h2,78,10,93
57,MiniMax_h1_h2,92,10,82
58,MiniMax_h1_h2,36,10,114
59,MiniMax_h1_h2,98,10,80
60,MiniMax_h1_h2,74,10,101
61,MiniMax_h1_h2,50,10,107
62,MiniMax_h1_h2,77,10,99
63,MiniMax_h1_h2,62,10,102
64,MiniMax_h1_h2,76,10,92
65,MiniMax_h1_h2,98,10,88
66,MiniMax_h1_h2,60,10,107
67,MiniMax_h1_h2,72,10,104
68,MiniMax_h1_h2,80,10,97
69,MiniMax_h1_h2,110,10,88
70,MiniMax_h1_h2,72,10,96
71,MiniMax_h1_h2,42,10,114
72,MiniMax_h1_h2,96,10,89
73,MiniMax_h1_h2,54,10,100
74,MiniMax_h1_h2,68,10,104
75,MiniMax_h1_h2,84,10,99
76,MiniMax_h1_h2,63,10,106
77,MiniMax_h1_h2,96,10,92
78,MiniMax_h1_h2,22,10,117
79,MiniMax_h1_h2,94,10,87
80,MiniMax_h1_h2,73,10,90
81,MiniMax_h1_h2,70,10,92
82,MiniMax_h1_h2,60,10,95
83,MiniMax_h1_h2,98,10,92
84,MiniMax_h1_h2,64,10,107
85,MiniMax_h1_h2,66,10,105
86,MiniMax_h1_h2,62,10,102
87,MiniMax_h1_h2,54,10,101
88,MiniMax_h1_h2,106,10,93
89,MiniMax_h1_h2,42,10,113
90,MiniMax_h1_h2,62,10,108
91,MiniMax_h1_h2,38,10,112
92,MiniMax_h1_h2,30,10,111
93,MiniMax_h1_h2,90,10,87
94,MiniMax_h1_h2,44,10,108
95,MiniMax_h1_h2,94,10,90
96,MiniMax_h1_h2,58,10,104
97,MiniMax_h1_h2,102,10,82
98,MiniMax_h1_h2,110,10,93
99,MiniMax_h1_h2,24,10,113
100,MiniMax_h1_h2,72,10,100
101,MiniMax_h1_h2,54,10,96
