match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,MiniMax_h2,98,10,89
2,MiniMax_h2,51,10,107
3,MiniMax_h2,25,10,108
4,MiniMax_h2,83,10,101
5,MiniMax_h2,41,10,112
6,MiniMax_h2,77,10,100
7,MiniMax_h2,95,10,93
8,MiniMax_h2,95,10,88
9,MiniMax_h2,31,10,111
10,MiniMax_h2,93,10,98
11,MiniMax_h2,69,10,103
12,MiniMax_h2,105,10,78
13,MiniMax_h2,95,10,87
14,MiniMax_h2,21,10,117
15,MiniMax_h2,47,10,106
16,MiniMax_h2,41,10,108
17,MiniMax_h2,51,10,110
18,MiniMax_h2,65,10,87
19,MiniMax_h2,45,10,110
20,MiniMax_h2,93,10,86
21,MiniMax_h2,53,10,104
22,MiniMax_h2,63,10,94
23,MiniMax_h2,93,10,89
24,MiniMax_h2,65,10,98
25,MiniMax_h2,69,10,97
26,MiniMax_h2,19,10,113
27,MiniMax_h2,45,10,112
28,MiniMax_h2,37,10,108
29,MiniMax_h2,51,10,95
30,MiniMax_h2,57,10,98
31,MiniMax_h2,97,10,99
32,MiniMax_h2,45,10,103
33,MiniMax_h2,39,10,101
34,MiniMax_h2,37,10,105
35,MiniMax_h2,24,10,113
36,MiniMax_h2,89,10,64
37,MiniMax_h2,123,10,85
38,MiniMax_h2,77,10,101
39,MiniMax_h2,68,10,101
40,MiniMax_h2,95,10,86
41,MiniMax_h2,23,10,117
42,MiniMax_h2,35,10,114
43,MiniMax_h2,47,10,113
44,MiniMax_h2,93,10,84
45,MiniMax_h2,99,10,86
46,MiniMax_h2,67,10,106
47,MiniMax_h2,37,10,109
48,MiniMax_h2,105,10,84
49,MiniMax_h2,77,10,96
50,MiniMax_h2,63,10,97
51,MiniMax_h2,119,10,74
52,MiniMax_h2,96,10,94
53,MiniMax_h2,24,10,117
54,MiniMax_h2,62,10,90
55,MiniMax_h2,110,10,88
56,MiniMax_h2,80,10,93
57,MiniMax_h2,58,10,100
58,MiniMax_h2,62,10,89
59,MiniMax_h2,32,10,113
60,MiniMax_h2,94,10,91
61,MiniMax_h2,48,10,104
62,MiniMax_h2,56,10,101
63,MiniMax_h2,74,10,95
64,MiniMax_h2,98,10,93
65,MiniMax_h2,57,10,108
66,MiniMax_h2,44,10,108
67,MiniMax_h2,20,10,118
68,MiniMax_h2,92,10,88
69,MiniMax_h2,72,10,98
70,MiniMax_h2,58,10,106
71,MiniMax_h2,55,10,101
72,MiniMax_h2,76,10,96
73,MiniMax_h2,40,10,104
74,MiniMax_h2,65,10,99
75,MiniMax_h2,66,10,99
76,MiniMax_h2,47,10,106
77,MiniMax_h2,64,10,97
78,MiniMax_h2,38,10,108
79,MiniMax_h2,32,10,114
80,MiniMax_h2,48,10,110
81,MiniMax_h2,100,10,91
82,MiniMax_h2,77,10,96
83,MiniMax_h2,109,10,84
84,MiniMax_h2,60,10,103
85,MiniMax_h2,65,10,101
86,MiniMax_h2,62,10,86
87,MiniMax_h2,86,10,71
88,MiniMax_h2,38,10,115
89,MiniMax_h2,76,10,91
90,MiniMax_h2,78,10,92
91,MiniMax_h2,96,10,82
92,MiniMax_h2,48,10,103
93,MiniMax_h2,98,10,85
94,MiniMax_h2,64,10,99
95,MiniMax_h2,82,10,81
96,MiniMax_h2,90,10,88
97,MiniMax_h2,100,10,85
98,MiniMax_h2,62,10,105
99,MiniMax_h2,64,10,96
100,MiniMax_h2,20,10,116
101,MiniMax_h2,76,10,99
