match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,StochasticBestGreedy_h2,118,10,83
2,StochasticBestGreedy_h2,119,10,93
3,StochasticBestGreedy_h2,91,10,97
4,StochasticBestGreedy_h2,87,10,95
5,StochasticBestGreedy_h2,100,10,92
6,StochasticBestGreedy_h2,75,10,105
7,StochasticBestGreedy_h2,86,10,97
8,StochasticBestGreedy_h2,89,10,90
9,StochasticBestGreedy_h2,79,10,97
10,StochasticBestGreedy_h2,123,10,88
11,StochasticBestGreedy_h2,89,10,99
12,StochasticBestGreedy_h2,83,10,101
13,StochasticBestGreedy_h2,63,10,107
14,StochasticBestGreedy_h2,109,10,78
15,StochasticBestGreedy_h2,107,10,92
16,StochasticBestGreedy_h2,77,10,98
17,StochasticBestGreedy_h2,91,10,99
18,StochasticBestGreedy_h2,117,10,92
19,StochasticBestGreedy_h2,109,10,89
20,StochasticBestGreedy_h2,61,10,100
21,StochasticBestGreedy_h2,67,10,106
22,StochasticBestGreedy_h2,40,10,116
23,StochasticBestGreedy_h2,121,10,89
24,StochasticBestGreedy_h2,26,10,119
25,StochasticBestGreedy_h2,99,10,91
26,StochasticBestGreedy_h2,85,10,95
27,StochasticBestGreedy_h2,103,10,71
28,StochasticBestGreedy_h2,79,10,105
29,StochasticBestGreedy_h2,121,10,85
30,StochasticBestGreedy_h2,35,10,111
31,StochasticBestGreedy_h2,112,10,83
32,StochasticBestGreedy_h2,89,10,96
33,StochasticBestGreedy_h2,97,10,95
34,StochasticBestGreedy_h2,125,10,88
35,StochasticBestGreedy_h2,91,10,94
36,StochasticBestGreedy_h2,101,10,100
37,StochasticBestGreedy_h2,90,10,92
38,StochasticBestGreedy_h2,151,10,76
39,StochasticBestGreedy_h2,93,10,92
40,StochasticBestGreedy_h2,113,10,92
41,StochasticBestGreedy_h2,49,10,116
42,StochasticBestGreedy_h2,127,10,88
43,StochasticBestGreedy_h2,113,10,81
44,StochasticBestGreedy_h2,123,10,83
45,StochasticBestGreedy_h2,121,10,82
46,StochasticBestGreedy_h2,117,10,82
47,StochasticBestGreedy_h2,133,10,78
48,StochasticBestGreedy_h2,89,10,91
49,StochasticBestGreedy_h2,119,10,85
50,StochasticBestGreedy_h2,107,10,91
51,StochasticBestGreedy_h2,93,10,101
52,StochasticBestGreedy_h2,96,10,87
53,StochasticBestGreedy_h2,110,10,84
54,StochasticBestGreedy_h2,100,10,83
55,StochasticBestGreedy_h2,76,10,101
56,StochasticBestGreedy_h2,84,10,97
57,StochasticBestGreedy_h2,106,10,92
58,StochasticBestGreedy_h2,112,10,87
59,StochasticBestGreedy_h2,126,10,81
60,StochasticBestGreedy_h2,94,10,97
61,StochasticBestGreedy_h2,88,10,105
62,StochasticBestGreedy_h2,119,10,86
63,StochasticBestGreedy_h2,78,10,98
64,StochasticBestGreedy_h2,79,10,103
65,StochasticBestGreedy_h2,120,10,80
66,StochasticBestGreedy_h2,89,10,91
67,StochasticBestGreedy_h2,29,10,119
68,StochasticBestGreedy_h2,110,10,87
69,StochasticBestGreedy_h2,78,10,108
70,StochasticBestGreedy_h2,118,10,88
71,StochasticBestGreedy_h2,122,10,86
72,StochasticBestGreedy_h2,82,10,95
73,StochasticBestGreedy_h2,90,10,92
74,StochasticBestGreedy_h2,90,10,95
75,StochasticBestGreedy_h2,104,10,94
76,StochasticBestGreedy_h2,44,10,112
77,StochasticBestGreedy_h2,86,10,96
78,StochasticBestGreedy_h2,84,10,98
79,StochasticBestGreedy_h2,96,10,88
80,StochasticBestGreedy_h2,108,10,78
81,StochasticBestGreedy_h2,110,10,87
82,StochasticBestGreedy_h2,27,10,114
83,StochasticBestGreedy_h2,114,10,81
84,StochasticBestGreedy_h2,120,10,90
85,StochasticBestGreedy_h2,50,10,107
86,StochasticBestGreedy_h2,92,10,103
87,StochasticBestGreedy_h2,86,10,93
88,StochasticBestGreedy_h2,110,10,89
89,StochasticBestGreedy_h2,110,10,90
90,StochasticBestGreedy_h2,112,10,85
91,StochasticBestGreedy_h2,97,10,101
92,StochasticBestGreedy_h2,108,10,94
93,StochasticBestGreedy_h2,78,10,104
94,StochasticBestGreedy_h2,114,10,81
95,StochasticBestGreedy_h2,102,10,88
96,StochasticBestGreedy_h2,84,10,95
97,StochasticBestGreedy_h2,83,10,102
98,StochasticBestGreedy_h2,118,9,75
99,StochasticBestGreedy_h2,58,10,102
100,StochasticBestGreedy_h2,101,10,96
101,StochasticBestGreedy_h2,68,10,103
