match_number,winner,moves_count,loser's_pieces_left,loser's_moves_left
1,StochasticGreedy_h1,104,9,95
2,StochasticGreedy_h1,171,10,84
3,StochasticGreedy_h1,138,10,95
4,StochasticGreedy_h1,139,10,91
5,StochasticGreedy_h1,165,10,86
6,StochasticGreedy_h1,65,10,106
7,StochasticGreedy_h1,111,10,100
8,StochasticGreedy_h1,99,9,81
9,StochasticGreedy_h1,167,10,86
10,StochasticGreedy_h1,227,10,77
11,StochasticGreedy_h1,191,10,77
12,StochasticGreedy_h1,135,10,88
13,StochasticGreedy_h1,171,10,76
14,StochasticGreedy_h1,193,10,72
15,StochasticGreedy_h1,173,10,85
16,StochasticGreedy_h1,141,10,88
17,StochasticGreedy_h1,129,10,87
18,StochasticGreedy_h1,99,10,100
19,StochasticGreedy_h1,177,10,80
20,StochasticGreedy_h1,152,10,94
21,StochasticGreedy_h1,151,10,75
22,StochasticGreedy_h1,229,10,72
23,StochasticGreedy_h1,93,10,92
24,StochasticGreedy_h1,153,10,84
25,StochasticGreedy_h1,197,10,79
26,StochasticGreedy_h1,85,10,99
27,StochasticGreedy_h1,141,10,87
28,StochasticGreedy_h1,149,10,88
29,StochasticGreedy_h1,145,10,84
30,StochasticGreedy_h1,107,10,101
31,StochasticGreedy_h1,109,10,87
32,StochasticGreedy_h1,191,8,60
33,StochasticGreedy_h1,157,10,88
34,StochasticGreedy_h1,177,10,73
35,StochasticGreedy_h1,149,10,90
36,StochasticGreedy_h1,131,10,78
37,StochasticGreedy_h1,157,10,78
38,StochasticGreedy_h1,142,10,91
39,StochasticGreedy_h1,203,10,73
40,StochasticGreedy_h1,103,10,96
41,StochasticGreedy_h1,159,10,77
42,StochasticGreedy_h1,161,9,83
43,StochasticGreedy_h1,225,9,61
44,StochasticGreedy_h1,213,10,71
45,StochasticGreedy_h1,109,10,91
46,StochasticGreedy_h1,203,10,89
47,StochasticGreedy_h1,183,10,85
48,StochasticGreedy_h1,173,10,74
49,StochasticGreedy_h1,67,10,108
50,StochasticGreedy_h1,165,10,85
51,StochasticGreedy_h1,313,10,64
52,StochasticGreedy_h1,122,10,76
53,StochasticGreedy_h1,92,10,93
54,StochasticGreedy_h1,122,10,85
55,StochasticGreedy_h1,96,10,96
56,StochasticGreedy_h1,144,10,81
57,StochasticGreedy_h1,153,10,96
58,StochasticGreedy_h1,109,10,92
59,StochasticGreedy_h1,104,10,95
60,StochasticGreedy_h1,183,10,80
61,StochasticGreedy_h1,146,10,79
62,StochasticGreedy_h1,145,10,92
63,StochasticGreedy_h1,101,10,82
64,StochasticGreedy_h1,148,10,68
65,StochasticGreedy_h1,158,10,62
66,StochasticGreedy_h1,180,10,72
67,StochasticGreedy_h1,175,10,72
68,StochasticGreedy_h1,218,9,66
69,StochasticGreedy_h1,114,10,86
70,StochasticGreedy_h1,106,10,89
71,StochasticGreedy_h1,90,10,99
72,StochasticGreedy_h1,132,10,92
73,StochasticGreedy_h1,140,10,94
74,StochasticGreedy_h1,150,10,84
75,StochasticGreedy_h1,142,10,84
76,StochasticGreedy_h1,138,10,78
77,StochasticGreedy_h1,198,10,78
78,StochasticGreedy_h1,168,10,66
79,StochasticGreedy_h1,76,9,89
80,StochasticGreedy_h1,133,10,101
81,StochasticGreedy_h1,169,10,80
82,StochasticGreedy_h1,146,10,80
83,StochasticGreedy_h1,132,10,90
84,StochasticGreedy_h1,175,10,72
85,StochasticGreedy_h1,116,10,94
86,StochasticGreedy_h1,162,10,78
87,StochasticGreedy_h1,114,10,96
88,StochasticGreedy_h1,136,10,85
89,StochasticGreedy_h1,48,9,105
90,StochasticGreedy_h1,94,10,101
91,StochasticGreedy_h1,134,10,89
92,StochasticGreedy_h1,139,10,79
93,StochasticGreedy_h1,74,10,96
94,StochasticGreedy_h1,140,10,76
95,StochasticGreedy_h1,60,10,103
96,StochasticGreedy_h1,84,10,92
97,StochasticGreedy_h1,153,10,97
98,StochasticGreedy_h1,118,10,92
99,StochasticGreedy_h1,200,9,75
100,StochasticGreedy_h1,132,10,92
101,StochasticGreedy_h1,88,10,94
